dataset,exp,pred,err
novartis,8.55,7.376914893617021,1.1730851063829801
novartis,5.5,5.87486301369863,0.3748630136986302
novartis,4.5,5.558831839285715,1.0588318392857152
novartis,5.5,5.87486301369863,0.3748630136986302
novartis,5.0,5.558831839285715,0.5588318392857152
novartis,10.2,9.671394551020407,0.5286054489795919
novartis,10.3,9.710502721311476,0.5894972786885244
novartis,10.3,9.69892857142857,0.60107142857143
novartis,8.7,7.462394736842105,1.237605263157894
novartis,3.8,4.754386552941177,0.9543865529411768
novartis,4.8,4.670780888111889,0.1292191118881112
novartis,2.9,4.754386552941177,1.8543865529411767
novartis,8.2,8.005801269230771,0.19419873076922833
novartis,2.4,3.2314814814814814,0.8314814814814815
novartis,4.31,5.558831839285715,1.2488318392857156
novartis,3.6,3.579704306451613,0.020295693548387117
novartis,3.3,3.9205459770114945,0.6205459770114947
novartis,5.9,7.099245283018868,1.1992452830188673
novartis,3.9,4.516122448979592,0.6161224489795925
novartis,9.7,3.44837962962963,6.25162037037037
novartis,2.92,3.770109037383177,0.8501090373831772
novartis,5.2,7.837740738562091,2.6377407385620906
novartis,4.1,4.271121525,0.17112152500000022
novartis,4.3,4.754386552941177,0.4543865529411768
novartis,9.2,9.639782608695654,0.4397826086956549
novartis,9.3,7.8360975609756105,1.4639024390243902
novartis,2.1,4.4469,2.3469
novartis,9.7,10.15919501162159,0.45919501162159015
novartis,6.865,5.6771264367816086,1.1878735632183917
novartis,8.2,8.541177773333334,0.3411777733333352
novartis,7.24,5.27314815079365,1.9668518492063498
novartis,3.37,5.87486301369863,2.50486301369863
novartis,3.385,4.076553766129032,0.6915537661290321
novartis,6.3,4.2156896551724135,2.0843103448275864
novartis,10.5,10.169705882352941,0.3302941176470586
novartis,8.7,7.837740738562091,0.8622592614379085
novartis,9.005,8.069666666666667,0.9353333333333342
novartis,8.66,8.305134403225807,0.35486559677419294
novartis,4.5,4.271121525,0.22887847500000014
novartis,6.9,8.305134403225807,1.4051344032258068
novartis,10.2,9.018649635036494,1.1813503649635049
novartis,4.26,4.754386552941177,0.49438655294117684
novartis,3.4,4.754386552941177,1.3543865529411767
novartis,7.6,7.099245283018868,0.5007547169811319
novartis,5.3,4.271121525,1.028878475
novartis,3.69,5.558831839285715,1.8688318392857153
novartis,8.52,9.018649635036494,0.49864963503649484
novartis,3.37,3.770109037383177,0.40010903738317705
novartis,4.2,4.2156896551724135,0.015689655172413275
novartis,5.8,4.670780888111889,1.1292191118881112
novartis,3.0,4.271121525,1.2711215249999999
novartis,5.4,10.51860214516129,5.11860214516129
novartis,8.5,8.263999999999998,0.23600000000000243
novartis,10.6,9.386875,1.2131249999999998
novartis,3.7,5.27314815079365,1.5731481507936502
novartis,8.356,8.541177773333334,0.18517777333333463
novartis,7.9,7.966263623727215,0.06626362372721495
novartis,9.2,9.018649635036494,0.18135036496350487
novartis,10.6,9.710502721311476,0.8894972786885234
novartis,4.8,4.754386552941177,0.0456134470588232
novartis,6.8,5.6771264367816086,1.1228735632183913
novartis,3.9,4.754386552941177,0.8543865529411767
novartis,4.3,4.845,0.5449999999999999
novartis,8.3,5.87486301369863,2.4251369863013705
novartis,8.4,7.659090909090908,0.7409090909090921
novartis,6.2,6.507357142857143,0.30735714285714266
novartis,9.01,9.134761916666667,0.12476191666666736
novartis,3.4,4.1703951276595745,0.7703951276595746
novartis,3.5,4.4469,0.9469000000000003
novartis,9.2,9.710502721311476,0.510502721311477
novartis,10.7,9.639782608695654,1.0602173913043451
novartis,10.2,9.880055555555556,0.3199444444444435
novartis,8.6,9.082628948051946,0.48262894805194634
novartis,4.266667,4.1703951276595745,0.09627187234042545
novartis,7.6,7.099245283018868,0.5007547169811319
novartis,4.25,4.754386552941177,0.5043865529411766
novartis,2.9,3.7272881355932204,0.8272881355932205
novartis,6.0,5.687857142857143,0.31214285714285683
novartis,4.8,7.099245283018868,2.299245283018868
novartis,4.2,5.558831839285715,1.358831839285715
novartis,8.2,7.837740738562091,0.36225926143790854
novartis,8.25,8.069666666666667,0.18033333333333346
novartis,7.17,8.069666666666667,0.8996666666666666
novartis,4.0,3.9205459770114945,0.07945402298850546
novartis,8.9,8.643480382352939,0.25651961764706144
novartis,6.07,5.87486301369863,0.1951369863013701
novartis,9.1,9.710502721311476,0.6105027213114766
novartis,4.4,4.271121525,0.1288784750000005
novartis,5.2,4.076553766129032,1.1234462338709683
novartis,5.3,7.462394736842105,2.1623947368421055
novartis,7.5,7.099245283018868,0.4007547169811323
novartis,8.1,7.551184210526314,0.5488157894736858
novartis,4.1,5.558831839285715,1.4588318392857156
novartis,10.91,9.134761916666667,1.775238083333333
novartis,5.0,5.87486301369863,0.8748630136986302
novartis,4.9,4.670780888111889,0.22921911188811173
novartis,9.4,4.754386552941177,4.645613447058824
novartis,6.37,6.658928571428571,0.28892857142857054
novartis,8.3,8.069666666666667,0.23033333333333417
novartis,6.5,6.507357142857143,0.00735714285714284
novartis,7.1,5.558831839285715,1.5411681607142844
novartis,7.32,8.069666666666667,0.7496666666666663
novartis,6.25,7.376914893617021,1.1269148936170206
novartis,5.6,5.925263157894737,0.3252631578947369
novartis,4.65,6.812500000000001,2.1625000000000005
novartis,8.3,8.305134403225807,0.005134403225806494
novartis,7.5,8.263999999999998,0.7639999999999976
novartis,3.8,5.407460317460317,1.6074603174603173
novartis,9.4,9.44560571641791,0.04560571641791
novartis,5.3,5.9331666666666685,0.6331666666666687
novartis,8.4,8.541177773333334,0.14117777333333414
novartis,8.2,8.528683865079362,0.32868386507936265
novartis,3.41,3.770109037383177,0.360109037383177
novartis,5.522,5.558831839285715,0.036831839285714985
novartis,8.65,8.305134403225807,0.34486559677419315
novartis,5.283333,6.812500000000001,1.529167000000001
novartis,8.6,5.687857142857143,2.9121428571428565
novartis,8.4,5.647340425531913,2.7526595744680877
novartis,8.35,5.87486301369863,2.4751369863013695
novartis,8.35,5.87486301369863,2.4751369863013695
novartis,4.9,4.2156896551724135,0.6843103448275869
novartis,4.8,3.9205459770114945,0.8794540229885053
novartis,7.31,7.099245283018868,0.2107547169811319
novartis,3.84,4.1703951276595745,0.3303951276595747
novartis,7.7,8.285594200027612,0.5855942000276118
novartis,10.4,8.528683865079362,1.8713161349206384
novartis,9.1,9.710502721311476,0.6105027213114766
novartis,8.4,9.018649635036494,0.6186496350364941
novartis,7.8,8.263999999999998,0.46399999999999775
novartis,7.9,8.005801269230771,0.1058012692307706
novartis,8.59,7.551363636363636,1.038636363636364
novartis,7.955,7.462394736842105,0.49260526315789477
novartis,8.6,8.643480382352939,0.04348038235293927
novartis,7.74,7.837740738562091,0.09774073856209053
novartis,3.86,4.271121525,0.411121525
novartis,9.0,7.837740738562091,1.1622592614379093
novartis,8.5,9.08529342253521,0.5852934225352104
novartis,4.4,6.507357142857143,2.1073571428571425
novartis,4.94,6.658928571428571,1.7189285714285703
novartis,4.8,6.812500000000001,2.012500000000001
novartis,4.7,6.658928571428571,1.9589285714285705
novartis,4.75,6.658928571428571,1.9089285714285706
novartis,4.7,6.812500000000001,2.1125000000000007
novartis,7.9,7.7162500000000005,0.18374999999999986
novartis,9.43,7.099245283018868,2.330754716981132
novartis,9.46,9.082628948051946,0.37737105194805487
novartis,8.3,9.018649635036494,0.7186496350364937
novartis,4.63,3.041538461538461,1.588461538461539
novartis,3.4,4.271121525,0.871121525
novartis,2.3,3.7832051282051284,1.4832051282051286
novartis,3.35,4.271121525,0.9211215249999998
novartis,3.5,3.770109037383177,0.27010903738317715
novartis,3.6,5.647340425531913,2.0473404255319125
novartis,3.9,4.670780888111889,0.7707808881118887
novartis,4.2,4.1703951276595745,0.029604872340425636
novartis,5.2,4.076553766129032,1.1234462338709683
novartis,2.7,4.754386552941177,2.0543865529411764
novartis,3.8,4.754386552941177,0.9543865529411768
novartis,9.8,5.647340425531913,4.152659574468088
novartis,7.6,7.099245283018868,0.5007547169811319
novartis,8.35,8.005801269230771,0.3441987307692287
novartis,4.2,7.0969565217391315,2.8969565217391313
novartis,8.6,8.305134403225807,0.29486559677419244
novartis,3.9,3.9205459770114945,0.02054597701149463
novartis,4.0,3.9205459770114945,0.07945402298850546
novartis,5.2,7.099245283018868,1.8992452830188675
novartis,4.35,4.516122448979592,0.16612244897959272
novartis,4.45,4.670780888111889,0.22078088811188845
novartis,5.0,4.466315789473684,0.5336842105263164
novartis,4.28,4.4469,0.16690000000000005
novartis,9.0,8.643480382352939,0.3565196176470611
novartis,4.7,5.6771264367816086,0.9771264367816084
novartis,5.1,5.407460317460317,0.30746031746031743
novartis,8.5,8.305134403225807,0.1948655967741928
novartis,6.0,4.754386552941177,1.2456134470588234
novartis,6.0,4.754386552941177,1.2456134470588234
novartis,4.18,5.558831839285715,1.3788318392857155
novartis,10.01,9.44560571641791,0.5643942835820894
novartis,8.9,9.018649635036494,0.11864963503649406
novartis,7.2,7.376914893617021,0.1769148936170204
novartis,8.375,8.643480382352939,0.2684803823529389
novartis,6.8,6.507357142857143,0.292642857142857
novartis,5.2,5.558831839285715,0.35883183928571505
novartis,6.5,5.558831839285715,0.9411681607142848
novartis,9.5,9.639782608695654,0.13978260869565418
novartis,5.3,5.27314815079365,0.02685184920634942
novartis,4.1,4.516122448979592,0.4161224489795927
novartis,10.2,9.44560571641791,0.7543942835820889
novartis,3.7,5.558831839285715,1.858831839285715
novartis,4.5,5.647340425531913,1.1473404255319126
novartis,7.0,7.376914893617021,0.3769148936170206
novartis,5.3,4.754386552941177,0.5456134470588232
novartis,4.6,4.076553766129032,0.5234462338709678
novartis,3.9,3.44837962962963,0.45162037037037006
novartis,7.5,2.636428571428571,4.863571428571429
novartis,8.3,2.636428571428571,5.66357142857143
novartis,4.2,4.076553766129032,0.12344623387096831
novartis,4.5,4.4469,0.0530999999999997
novartis,5.4,5.407460317460317,0.007460317460316723
novartis,4.0,4.076553766129032,0.07655376612903186
novartis,9.55,9.44560571641791,0.10439428358209035
novartis,8.26,8.305134403225807,0.04513440322580742
novartis,3.9,3.7272881355932204,0.17271186440677955
novartis,7.5,6.218181818181819,1.2818181818181813
novartis,10.8,9.760454545454547,1.039545454545454
novartis,2.9,10.059239130434781,7.159239130434781
novartis,6.9,6.320689655172414,0.5793103448275865
novartis,5.6,4.1703951276595745,1.429604872340425
novartis,6.9,5.27314815079365,1.62685184920635
novartis,4.7,3.7272881355932204,0.9727118644067798
novartis,4.5,3.44837962962963,1.0516203703703701
novartis,6.1,6.812500000000001,0.7125000000000012
novartis,5.1,4.845,0.2549999999999999
novartis,3.6,4.1703951276595745,0.5703951276595745
novartis,9.9,7.837740738562091,2.0622592614379096
novartis,8.77,9.018649635036494,0.24864963503649484
novartis,5.9,7.099245283018868,1.1992452830188673
novartis,8.7,8.592500000000001,0.10749999999999815
novartis,8.4,9.018649635036494,0.6186496350364941
novartis,3.4,4.516122448979592,1.1161224489795925
novartis,3.8,4.754386552941177,0.9543865529411768
novartis,5.2,5.27314815079365,0.07314815079365022
novartis,6.3,6.812500000000001,0.5125000000000011
novartis,7.2,8.069666666666667,0.8696666666666664
novartis,4.1,4.754386552941177,0.654386552941177
novartis,3.2,3.770109037383177,0.570109037383177
novartis,3.3,3.770109037383177,0.47010903738317733
novartis,10.5,4.670780888111889,5.829219111888111
novartis,5.8,4.670780888111889,1.1292191118881112
novartis,5.7,4.076553766129032,1.6234462338709683
novartis,3.51,3.44837962962963,0.06162037037036994
novartis,3.48,3.579704306451613,0.09970430645161299
novartis,3.0,3.7272881355932204,0.7272881355932204
novartis,3.5,3.9205459770114945,0.42054597701149454
novartis,3.9,4.271121525,0.37112152499999995
novartis,4.1,3.770109037383177,0.3298909626168225
novartis,3.2,4.076553766129032,0.8765537661290317
novartis,4.2,4.271121525,0.07112152499999969
novartis,4.45,4.754386552941177,0.30438655294117645
novartis,3.9,3.579704306451613,0.32029569354838694
novartis,3.9,3.579704306451613,0.32029569354838694
novartis,4.39,3.9205459770114945,0.46945402298850514
novartis,3.3,4.754386552941177,1.4543865529411768
novartis,3.3,4.271121525,0.971121525
novartis,11.7,10.169705882352941,1.530294117647058
novartis,8.3,9.141,0.8409999999999993
novartis,3.8,4.845,1.045
novartis,3.9,4.670780888111889,0.7707808881118887
novartis,3.8,6.507357142857143,2.707357142857143
novartis,3.75,5.27314815079365,1.5231481507936504
novartis,3.6,4.271121525,0.6711215249999998
novartis,9.3,9.018649635036494,0.2813503649635063
novartis,5.3,5.407460317460317,0.10746031746031726
novartis,8.55,7.837740738562091,0.71225926143791
