dataset,exp,pred,err,site_correct,n_atoms,pka_bin,corrected_pred
novartis,8.55,7.376914893617021,1.17308510638298,True,15,7-10,7.376914893617021
novartis,5.5,5.87486301369863,0.3748630136986302,True,36,4-7,5.314863013698631
novartis,4.5,5.558831839285715,1.0588318392857152,True,36,4-7,4.998831839285716
novartis,5.5,5.87486301369863,0.3748630136986302,True,36,4-7,5.314863013698631
novartis,5.0,5.558831839285715,0.5588318392857152,True,35,4-7,5.038831839285716
novartis,10.2,9.671394551020407,0.5286054489795919,True,23,>10,9.631394551020408
novartis,10.3,9.710502721311476,0.5894972786885244,True,23,>10,9.670502721311477
novartis,10.3,9.69892857142857,0.60107142857143,True,19,>10,9.69892857142857
novartis,8.7,7.462394736842105,1.237605263157894,True,14,7-10,7.462394736842105
novartis,3.8,4.754386552941177,0.9543865529411768,True,33,<4,4.314386552941177
novartis,4.8,5.27314815079365,0.4731481507936506,True,31,4-7,4.913148150793651
novartis,2.9,3.579704306451613,0.6797043064516131,True,27,<4,3.3797043064516132
novartis,8.2,8.005801269230771,0.1941987307692283,True,33,7-10,7.5658012692307715
novartis,2.4,3.2314814814814814,0.8314814814814815,True,22,<4,3.2314814814814814
novartis,4.31,5.558831839285715,1.2488318392857156,True,26,4-7,5.398831839285715
novartis,3.6,4.845,1.2449999999999997,True,38,<4,4.205
novartis,3.3,5.27314815079365,1.9731481507936504,True,36,<4,4.713148150793651
novartis,5.9,7.099245283018868,1.1992452830188671,True,30,4-7,6.779245283018868
novartis,3.9,4.516122448979592,0.6161224489795925,True,32,<4,4.116122448979593
novartis,9.7,3.2314814814814814,6.468518518518518,False,29,7-10,2.9514814814814816
novartis,2.92,3.770109037383177,0.8501090373831772,True,26,<4,3.610109037383177
novartis,5.2,7.837740738562091,2.6377407385620906,True,22,4-7,7.837740738562091
novartis,4.1,4.271121525,0.1711215250000002,True,21,4-7,4.271121525
novartis,4.3,4.754386552941177,0.4543865529411768,True,18,4-7,4.754386552941177
novartis,9.2,9.639782608695654,0.4397826086956549,True,29,7-10,9.359782608695655
novartis,9.3,4.271121525,5.028878475000001,False,28,7-10,4.031121525
novartis,2.1,4.4469,2.3469,True,27,<4,4.2469
novartis,9.7,10.159159411562412,0.459159411562414,True,17,7-10,10.159159411562412
novartis,6.865,4.170395127659575,2.6946048723404257,True,30,4-7,3.8503951276595756
novartis,8.2,8.528683865079362,0.3286838650793626,True,37,7-10,7.928683865079362
novartis,7.24,8.005801269230771,0.7658012692307707,True,18,7-10,8.005801269230771
novartis,3.37,5.87486301369863,2.50486301369863,True,35,<4,5.354863013698631
novartis,3.385,4.076553766129032,0.6915537661290321,True,31,<4,3.716553766129032
novartis,6.3,5.407460317460317,0.8925396825396827,True,23,4-7,5.367460317460317
novartis,10.5,10.16970588235294,0.3302941176470586,True,23,>10,10.12970588235294
novartis,8.7,7.837740738562091,0.8622592614379085,True,34,7-10,7.357740738562091
novartis,9.005,8.069666666666667,0.9353333333333342,True,32,7-10,7.669666666666667
novartis,8.66,8.305134403225807,0.3548655967741929,True,28,7-10,8.065134403225807
novartis,4.5,4.271121525,0.2288784750000001,True,30,4-7,3.951121525
novartis,6.9,8.305134403225807,1.4051344032258068,True,30,4-7,7.985134403225807
novartis,10.2,9.018649635036494,1.1813503649635049,True,16,>10,9.018649635036494
novartis,4.26,4.754386552941177,0.4943865529411768,True,27,4-7,4.5543865529411764
novartis,3.4,4.754386552941177,1.3543865529411767,True,23,<4,4.714386552941177
novartis,7.6,7.099245283018868,0.5007547169811319,True,18,7-10,7.099245283018868
novartis,5.3,5.558831839285715,0.2588318392857154,True,25,4-7,5.438831839285715
novartis,3.69,5.558831839285715,1.8688318392857155,True,29,<4,5.278831839285715
novartis,8.52,9.018649635036494,0.4986496350364948,True,22,7-10,9.018649635036494
novartis,3.37,3.770109037383177,0.400109037383177,True,28,<4,3.5301090373831774
novartis,4.2,4.2156896551724135,0.0156896551724132,True,15,4-7,4.2156896551724135
novartis,5.8,4.670780888111889,1.1292191118881112,True,16,4-7,4.670780888111889
novartis,3.0,4.271121525,1.271121525,True,37,<4,3.671121525
novartis,5.4,10.51860214516129,5.11860214516129,False,26,4-7,10.35860214516129
novartis,8.5,8.263999999999998,0.2360000000000024,True,31,7-10,7.903999999999998
novartis,10.6,9.386875,1.2131249999999998,True,37,>10,8.786875
novartis,3.7,5.27314815079365,1.5731481507936502,True,29,<4,4.99314815079365
novartis,8.356,8.541177773333334,0.1851777733333346,True,16,7-10,8.541177773333334
novartis,7.9,4.670780888111889,3.229219111888112,True,34,7-10,4.190780888111889
novartis,9.2,9.018649635036494,0.1813503649635048,True,27,7-10,8.818649635036495
novartis,10.6,9.710502721311476,0.8894972786885234,True,20,>10,9.710502721311476
novartis,4.8,4.754386552941177,0.0456134470588232,True,16,4-7,4.754386552941177
novartis,6.8,5.6771264367816086,1.1228735632183913,True,21,4-7,5.6771264367816086
novartis,3.9,4.754386552941177,0.8543865529411767,True,33,<4,4.314386552941177
novartis,4.3,4.170395127659575,0.1296048723404252,False,27,4-7,3.9703951276595757
novartis,8.3,2.6755673833704656,5.624432616629536,True,26,7-10,2.515567383370466
novartis,8.4,7.659090909090908,0.7409090909090921,True,19,7-10,7.659090909090908
novartis,6.2,6.507357142857143,0.3073571428571426,True,34,4-7,6.027357142857143
novartis,9.01,9.134761916666667,0.1247619166666673,True,31,7-10,8.774761916666668
novartis,3.4,4.170395127659575,0.7703951276595746,True,36,<4,3.610395127659576
novartis,3.5,4.4469,0.9469000000000004,True,35,<4,3.9269000000000007
novartis,9.2,9.710502721311476,0.510502721311477,True,34,7-10,9.230502721311476
novartis,10.7,9.639782608695654,1.0602173913043451,True,32,>10,9.239782608695654
novartis,10.2,9.880055555555556,0.3199444444444435,True,33,>10,9.440055555555556
novartis,8.6,9.082628948051946,0.4826289480519463,True,26,7-10,8.922628948051946
novartis,4.266667,4.754386552941177,0.4877195529411766,True,33,4-7,4.314386552941177
novartis,7.6,4.271121525,3.328878475,True,30,7-10,3.951121525
novartis,4.25,4.754386552941177,0.5043865529411766,True,14,4-7,4.754386552941177
novartis,2.9,3.727288135593221,0.8272881355932205,True,9,<4,3.727288135593221
novartis,6.0,5.687857142857143,0.3121428571428568,True,32,4-7,5.287857142857144
novartis,4.8,7.099245283018868,2.299245283018868,True,34,4-7,6.619245283018868
novartis,4.2,5.558831839285715,1.358831839285715,True,23,4-7,5.518831839285715
novartis,8.2,7.837740738562091,0.3622592614379085,True,31,7-10,7.477740738562091
novartis,8.25,8.069666666666667,0.1803333333333334,True,31,7-10,7.709666666666667
novartis,7.17,9.082628948051946,1.912628948051946,True,44,7-10,8.202628948051947
novartis,4.0,3.920545977011495,0.0794540229885054,True,20,<4,3.920545977011495
novartis,8.9,8.643480382352939,0.2565196176470614,True,29,7-10,8.36348038235294
novartis,6.07,7.099245283018868,1.0292452830188674,True,25,4-7,6.979245283018868
novartis,9.1,9.710502721311476,0.6105027213114766,True,31,7-10,9.350502721311477
novartis,4.4,5.27314815079365,0.87314815079365,True,27,4-7,5.07314815079365
novartis,5.2,5.27314815079365,0.0731481507936502,True,29,4-7,4.99314815079365
novartis,5.3,7.462394736842105,2.162394736842105,True,24,4-7,7.382394736842105
novartis,7.5,7.099245283018868,0.4007547169811323,True,12,7-10,7.099245283018868
