dataset,exp,pred,err,n_atoms,rings,site,pka_bin
novartis,8.55,6.670608808290156,1.8793911917098445,15,3,base-only,7-10
novartis,5.5,5.648036301980198,0.14803630198019757,36,3,base-only,4-7
novartis,4.5,5.2763580370370375,0.7763580370370375,36,3,base-only,4-7
novartis,5.5,6.324213830188678,0.8242138301886781,36,3,base-only,4-7
novartis,5.0,5.532100268292683,0.532100268292683,35,3,base-only,4-7
novartis,10.2,9.019197696969695,1.1808023030303048,23,5,base-only,>10
novartis,10.3,9.15751855194805,1.1424814480519512,23,5,base-only,>10
novartis,10.3,9.15751855194805,1.1424814480519512,19,4,base-only,>10
novartis,8.7,6.906012986906935,1.793987013093064,14,3,base-only,7-10
novartis,3.8,5.2763580370370375,1.4763580370370377,33,5,base-only,<4
novartis,4.8,5.046636363636365,0.2466363636363651,31,3,base-only,4-7
novartis,2.9,5.648036301980198,2.7480363019801977,27,3,base-only,<4
novartis,8.2,7.844093663636362,0.35590633636363744,33,4,base-only,7-10
novartis,2.4,3.975482533333333,1.575482533333333,22,2,base-only,<4
novartis,4.31,6.493030303030304,2.1830303030303044,26,4,base-only,4-7
novartis,3.6,4.805096153846152,1.2050961538461515,38,5,base-only,<4
novartis,3.3,4.615625000000001,1.3156250000000016,36,5,base-only,<4
novartis,5.9,6.856838235294118,0.9568382352941178,30,3,base-only,4-7
novartis,3.9,4.547704918032786,0.6477049180327863,32,5,base-only,<4
novartis,9.7,4.615625000000001,5.084374999999998,29,4,base-only,7-10
novartis,2.92,3.302315789473685,0.3823157894736853,26,3,both,<4
novartis,5.2,5.80960145652174,0.60960145652174,22,3,acid-only,4-7
novartis,4.1,4.397882462686566,0.29788246268656593,21,3,acid-only,4-7
novartis,4.3,4.6928283387096785,0.3928283387096787,18,3,acid-only,4-7
novartis,9.2,9.661931094202897,0.4619310942028978,29,4,base-only,7-10
novartis,9.3,7.436003877906977,1.863996122093024,28,3,both,7-10
novartis,2.1,5.442253410811886,3.3422534108118858,27,2,acid-only,<4
novartis,9.7,9.725333319999999,0.02533331999999966,17,1,base-only,7-10
novartis,6.865,5.649044117647058,1.215955882352942,30,3,both,4-7
novartis,8.2,8.882249999999999,0.6822499999999998,37,5,both,7-10
novartis,7.24,5.2763580370370375,1.9636419629629627,18,3,base-only,7-10
novartis,3.37,4.866680914529915,1.4966809145299145,35,3,both,<4
novartis,3.385,5.141551724137931,1.756551724137931,31,3,both,<4
novartis,6.3,5.532100268292683,0.7678997317073168,23,3,base-only,4-7
novartis,10.5,10.296875000000002,0.20312499999999822,23,3,base-only,>10
novartis,8.7,8.010344827586204,0.6896551724137954,34,4,base-only,7-10
novartis,9.005,8.177791325203254,0.8272086747967471,32,3,base-only,7-10
novartis,8.66,8.177791325203254,0.48220867479674645,28,3,base-only,7-10
novartis,4.5,3.975482533333333,0.524517466666667,30,3,acid-only,4-7
novartis,6.9,7.584108184210526,0.6841081842105252,30,4,both,4-7
novartis,10.2,7.844093663636362,2.3559063363636374,16,2,acid-only,>10
novartis,4.26,4.547704918032786,0.2877049180327864,27,3,acid-only,4-7
novartis,3.4,4.36,0.9600000000000004,23,3,base-only,<4
novartis,7.6,7.584108184210526,0.015891815789474073,18,2,acid-only,7-10
novartis,5.3,3.8135802407407406,1.4864197592592592,25,3,base-only,4-7
novartis,3.69,5.648036301980198,1.9580363019801976,29,4,base-only,<4
novartis,8.52,8.366341670000002,0.15365832999999718,22,1,base-only,7-10
novartis,3.37,4.063867924528302,0.6938679245283019,28,3,acid-only,<4
novartis,4.2,4.32431667,0.1243166699999998,15,2,base-only,4-7
novartis,5.8,4.6928283387096785,1.1071716612903213,16,2,base-only,4-7
novartis,3.0,4.36,1.3600000000000003,37,5,both,<4
novartis,5.4,10.296875000000002,4.896875000000001,26,3,both,4-7
novartis,8.5,7.436003877906977,1.0639961220930232,31,4,base-only,7-10
novartis,10.6,9.604547169811323,0.9954528301886771,37,3,both,>10
novartis,3.7,5.648036301980198,1.9480363019801974,29,4,base-only,<4
novartis,8.356,8.177791325203254,0.17820867479674618,16,2,both,7-10
novartis,7.9,8.366341670000002,0.46634167000000204,34,4,both,7-10
novartis,9.2,9.019197696969695,0.18080230303030476,27,2,both,7-10
novartis,10.6,10.626214694915255,0.02621469491525552,20,2,acid-only,>10
novartis,4.8,5.80960145652174,1.0096014565217404,16,3,base-only,4-7
novartis,6.8,6.063951612903225,0.7360483870967744,21,3,base-only,4-7
novartis,3.9,5.046636363636365,1.146636363636365,33,5,base-only,<4
novartis,4.3,5.141551724137931,0.8415517241379309,27,3,base-only,4-7
novartis,8.3,5.80960145652174,2.4903985434782605,26,2,both,7-10
novartis,8.4,6.93,1.4700000000000006,19,2,both,7-10
novartis,6.2,5.649044117647058,0.5509558823529419,34,5,base-only,4-7
novartis,9.01,9.377031249999998,0.36703124999999837,31,3,both,7-10
novartis,3.4,4.32431667,0.9243166700000001,36,5,both,<4
novartis,3.5,4.32431667,0.82431667,35,5,both,<4
novartis,9.2,8.366341670000002,0.8336583299999969,34,4,base-only,7-10
novartis,10.7,9.357357572727272,1.342642427272727,32,4,base-only,>10
novartis,10.2,9.357357572727272,0.8426424272727271,33,4,base-only,>10
novartis,8.6,9.15751855194805,0.5575185519480499,26,4,base-only,7-10
novartis,4.266667,4.6928283387096785,0.42616133870967854,33,4,base-only,4-7
novartis,7.6,6.670608808290156,0.9293911917098434,30,3,both,7-10
novartis,4.25,6.873464058823529,2.6234640588235294,14,2,base-only,4-7
novartis,2.9,3.302315789473685,0.4023157894736853,9,0,acid-only,<4
novartis,6.0,6.856838235294118,0.8568382352941182,32,4,base-only,4-7
novartis,4.8,6.670608808290156,1.8706088082901564,34,5,base-only,4-7
novartis,4.2,5.532100268292683,1.3321002682926828,23,3,base-only,4-7
novartis,8.2,8.177791325203254,0.022208674796745598,31,4,base-only,7-10
novartis,8.25,8.447087254716983,0.1970872547169833,31,4,base-only,7-10
novartis,7.17,7.793625000000001,0.6236250000000014,44,4,base-only,7-10
novartis,4.0,3.975482533333333,0.024517466666666987,20,2,both,<4
novartis,8.9,9.019197696969695,0.11919769696969418,29,4,base-only,7-10
novartis,6.07,5.532100268292683,0.5378997317073173,25,4,base-only,4-7
novartis,9.1,9.590476142857142,0.49047614285714225,31,4,base-only,7-10
novartis,4.4,4.6928283387096785,0.29282833870967817,27,5,base-only,4-7
novartis,5.2,4.866680914529915,0.3333190854700856,29,4,base-only,4-7
novartis,5.3,6.063951612903225,0.7639516129032256,24,3,base-only,4-7
novartis,7.5,7.436003877906977,0.06399612209302319,12,1,acid-only,7-10
novartis,8.1,6.670608808290156,1.4293911917098434,31,3,base-only,7-10
novartis,4.1,4.547704918032786,0.44770491803278656,19,3,acid-only,4-7
novartis,10.91,9.019197696969695,1.8908023030303056,49,4,acid-only,>10
novartis,5.0,6.063951612903225,1.0639516129032254,22,3,base-only,4-7
novartis,4.9,4.866680914529915,0.033319085470085774,13,2,base-only,4-7
novartis,9.4,5.648036301980198,3.751963698019803,28,4,base-only,7-10
novartis,6.37,6.856838235294118,0.48683823529411807,30,5,base-only,4-7
novartis,8.3,8.010344827586204,0.2896551724137968,25,3,both,7-10
novartis,6.5,7.436003877906977,0.9360038779069768,19,3,base-only,4-7
novartis,7.1,6.493030303030304,0.6069696969696956,25,3,base-only,7-10
novartis,7.32,8.010344827586204,0.6903448275862036,34,4,base-only,7-10
novartis,6.25,8.366341670000002,2.1163416700000024,19,3,base-only,4-7
novartis,5.6,6.324213830188678,0.7242138301886785,17,2,base-only,4-7
novartis,4.65,6.873464058823529,2.223464058823529,32,5,base-only,4-7
novartis,8.3,8.882249999999999,0.5822499999999984,30,4,base-only,7-10
novartis,7.5,8.177791325203254,0.6777913252032537,14,2,base-only,7-10
novartis,3.8,5.046636363636365,1.246636363636365,35,6,base-only,<4
novartis,9.4,9.050644433333332,0.34935556666666834,26,3,base-only,7-10
novartis,5.3,5.141551724137931,0.1584482758620691,24,3,base-only,4-7
novartis,8.4,8.366341670000002,0.03365832999999796,31,5,acid-only,7-10
novartis,8.2,8.366341670000002,0.1663416700000031,34,4,base-only,7-10
novartis,3.41,3.5294761999999995,0.11947619999999937,32,3,acid-only,<4
novartis,5.522,5.648036301980198,0.12603630198019733,18,3,base-only,4-7
novartis,8.65,8.010344827586204,0.6396551724137964,24,3,both,7-10
novartis,5.283333,6.063951612903225,0.7806186129032255,30,5,base-only,4-7
novartis,8.6,6.063951612903225,2.5360483870967743,22,2,both,7-10
novartis,8.4,5.80960145652174,2.59039854347826,28,3,both,7-10
novartis,8.35,5.80960145652174,2.5403985434782594,27,3,both,7-10
novartis,8.35,5.80960145652174,2.5403985434782594,21,2,both,7-10
novartis,4.9,4.32431667,0.5756833300000004,27,3,base-only,4-7
novartis,4.8,3.8135802407407406,0.9864197592592592,27,3,base-only,4-7
novartis,7.31,7.851538461538461,0.5415384615384617,21,3,both,7-10
novartis,3.84,4.866680914529915,1.0266809145299147,27,3,base-only,<4
novartis,7.7,6.873464058823529,0.8265359411764708,42,4,base-only,7-10
novartis,10.4,7.436003877906977,2.9639961220930235,22,2,acid-only,>10
novartis,9.1,9.543565181818183,0.44356518181818316,30,4,base-only,7-10
novartis,8.4,9.040047622222222,0.6400476222222213,22,3,base-only,7-10
novartis,7.8,8.177791325203254,0.37779132520325387,35,5,base-only,7-10
novartis,7.9,8.594155246575342,0.6941552465753418,36,5,base-only,7-10
novartis,8.59,7.851538461538461,0.7384615384615385,28,4,base-only,7-10
novartis,7.955,7.436003877906977,0.5189961220930233,28,4,base-only,7-10
novartis,8.6,8.447087254716983,0.15291274528301635,26,3,base-only,7-10
novartis,7.74,8.010344827586204,0.2703448275862037,19,3,acid-only,7-10
novartis,3.86,3.975482533333333,0.11548253333333314,24,3,both,<4
novartis,9.0,8.010344827586204,0.9896551724137961,22,3,base-only,7-10
novartis,8.5,9.040047622222222,0.5400476222222217,21,3,base-only,7-10
novartis,4.4,6.493030303030304,2.0930303030303037,30,5,base-only,4-7
novartis,4.94,6.670608808290156,1.7306088082901558,30,5,base-only,4-7
novartis,4.8,6.493030303030304,1.6930303030303042,33,5,base-only,4-7
novartis,4.7,7.436003877906977,2.7360038779069766,31,5,base-only,4-7
novartis,4.75,6.670608808290156,1.9206088082901562,33,5,base-only,4-7
novartis,4.7,6.670608808290156,1.970608808290156,33,5,base-only,4-7
novartis,7.9,7.844093663636362,0.05590633636363851,12,2,base-only,7-10
novartis,9.43,7.793625000000001,1.6363749999999984,24,3,base-only,7-10
novartis,9.46,8.447087254716983,1.0129127452830176,26,3,acid-only,7-10
novartis,8.3,8.177791325203254,0.12220867479674702,36,5,base-only,7-10
novartis,4.63,3.302315789473685,1.3276842105263147,24,3,base-only,4-7
novartis,3.4,4.866680914529915,1.4666809145299147,31,5,base-only,<4
novartis,2.3,3.8644266055045873,1.5644266055045875,17,2,acid-only,<4
novartis,3.35,4.6928283387096785,1.3428283387096784,17,2,acid-only,<4
novartis,3.5,3.8135802407407406,0.31358024074074065,18,2,acid-only,<4
novartis,3.6,5.732,2.132,34,4,base-only,<4
novartis,3.9,3.8644266055045873,0.035573394495412636,29,4,base-only,<4
novartis,4.2,4.32431667,0.1243166699999998,20,2,both,4-7
novartis,5.2,3.5294761999999995,1.6705238000000007,23,3,base-only,4-7
novartis,2.7,5.2763580370370375,2.5763580370370374,36,3,base-only,<4
novartis,3.8,4.547704918032786,0.7477049180327864,21,3,acid-only,<4
novartis,9.8,10.41300925,0.6130092499999993,12,2,base-only,7-10
novartis,7.6,6.493030303030304,1.1069696969696956,12,2,base-only,7-10
novartis,8.35,8.882249999999999,0.5322499999999994,36,5,base-only,7-10
novartis,4.2,6.493030303030304,2.293030303030304,29,5,base-only,4-7
novartis,8.6,8.366341670000002,0.23365832999999725,18,4,base-only,7-10
novartis,3.9,4.615625000000001,0.7156250000000015,20,3,base-only,<4
novartis,4.0,3.5294761999999995,0.4705238000000005,22,2,both,<4
novartis,5.2,6.856838235294118,1.656838235294118,24,3,both,4-7
novartis,4.35,5.020416666666667,0.6704166666666671,23,3,base-only,4-7
