dataset,exp,pred,err,n_atoms,rings,site,pka_bin
novartis,8.55,7.955738219895288,0.5942617801047128,15,3,base-only,7-10
novartis,5.5,6.6196,1.1196000000000002,36,3,base-only,4-7
novartis,4.5,6.174038461538462,1.674038461538462,36,3,base-only,4-7
novartis,5.5,6.6196,1.1196000000000002,36,3,base-only,4-7
novartis,5.0,5.633530145728643,0.6335301457286429,35,3,base-only,4-7
novartis,10.2,8.79878135483871,1.4012186451612898,23,5,base-only,>10
novartis,10.3,9.062940265486727,1.2370597345132737,23,5,base-only,>10
novartis,10.3,9.525769230769232,0.7742307692307691,19,4,base-only,>10
novartis,8.7,7.587806122448981,1.112193877551018,14,3,base-only,7-10
novartis,3.8,4.773878211538461,0.9738782115384614,33,5,base-only,<4
novartis,4.8,5.474253731343283,0.674253731343283,31,3,base-only,4-7
novartis,2.9,5.633530145728643,2.733530145728643,27,3,base-only,<4
novartis,8.2,8.384315784210525,0.18431578421052563,33,4,base-only,7-10
novartis,2.4,4.438374999999999,2.038374999999999,22,2,base-only,<4
novartis,4.31,6.380160891089109,2.0701608910891096,26,4,base-only,4-7
novartis,3.6,4.239679707482994,0.6396797074829936,38,5,base-only,<4
novartis,3.3,4.6217445,1.3217445000000003,36,5,base-only,<4
novartis,5.9,6.380160891089109,0.48016089108910887,30,3,base-only,4-7
novartis,3.9,4.624051094890512,0.7240510948905121,32,5,base-only,<4
novartis,9.7,5.456346153846154,4.243653846153845,29,4,base-only,7-10
novartis,2.92,3.615736842105262,0.6957368421052621,26,3,both,<4
novartis,4.1,4.239679707482994,0.13967970748299408,21,3,acid-only,4-7
novartis,4.3,4.936951219512196,0.6369512195121958,18,3,acid-only,4-7
novartis,9.2,8.90952381632653,0.2904761836734693,29,4,base-only,7-10
novartis,9.3,7.955738219895288,1.3442617801047128,28,3,both,7-10
novartis,2.1,4.9697499999999994,2.8697499999999994,27,2,acid-only,<4
novartis,9.7,9.385046943661973,0.3149530563380267,17,1,base-only,7-10
novartis,6.865,5.474253731343283,1.3907462686567174,30,3,both,4-7
novartis,8.2,8.201984126984128,0.0019841269841283093,37,5,base-only,7-10
novartis,7.24,5.633530145728643,1.6064698542713574,18,3,base-only,7-10
novartis,3.37,5.07,1.7000000000000002,35,3,both,<4
novartis,3.385,4.239679707482994,0.8546797074829939,31,3,both,<4
novartis,6.3,5.474253731343283,0.825746268656717,23,3,base-only,4-7
novartis,10.5,9.710499999999998,0.7895000000000021,23,3,base-only,>10
novartis,8.7,8.303064974576271,0.39693502542372805,34,4,base-only,7-10
novartis,9.005,8.057926012987016,0.9470739870129847,32,3,base-only,7-10
novartis,8.66,8.201984126984128,0.45801587301587254,28,3,base-only,7-10
novartis,4.5,4.136601769911503,0.3633982300884968,30,3,acid-only,4-7
novartis,6.9,7.2459999999999996,0.3459999999999992,30,4,acid-only,4-7
novartis,10.2,8.201984126984128,1.9980158730158717,16,2,acid-only,>10
novartis,4.26,4.624051094890512,0.36405109489051224,27,3,acid-only,4-7
novartis,3.4,5.230141509433962,1.8301415094339624,23,3,base-only,<4
novartis,7.6,7.1575000000000015,0.4424999999999981,18,2,acid-only,7-10
novartis,5.3,3.870913557971014,1.4290864420289857,25,3,base-only,4-7
novartis,3.69,5.633530145728643,1.943530145728643,29,4,base-only,<4
novartis,8.52,9.240986826905287,0.7209868269052873,22,1,base-only,7-10
novartis,3.37,3.870913557971014,0.500913557971014,28,3,acid-only,<4
novartis,4.2,4.136601769911503,0.06339823008849699,15,2,base-only,4-7
novartis,5.8,5.230141509433962,0.5698584905660375,16,2,base-only,4-7
novartis,3.0,4.136601769911503,1.1366017699115032,37,5,both,<4
novartis,5.4,5.633530145728643,0.2335301457286425,26,3,base-only,4-7
novartis,8.5,7.246296296296295,1.2537037037037049,31,4,base-only,7-10
novartis,10.6,8.384315784210525,2.2156842157894747,37,3,both,>10
novartis,3.7,5.506444466666667,1.806444466666667,29,4,base-only,<4
novartis,8.356,8.156905974358976,0.19909402564102407,16,2,both,7-10
novartis,7.9,5.13891891891892,2.7610810810810804,34,4,base-only,7-10
novartis,9.2,9.264430379746837,0.06443037974683818,27,2,acid-only,7-10
novartis,10.6,10.591136363636364,0.008863636363635408,20,2,acid-only,>10
novartis,4.8,5.456346153846154,0.6563461538461546,16,3,base-only,4-7
novartis,6.8,5.9027777777777795,0.8972222222222204,21,3,base-only,4-7
novartis,3.9,5.13891891891892,1.23891891891892,33,5,base-only,<4
novartis,4.3,4.624051094890512,0.3240510948905122,27,3,base-only,4-7
novartis,8.3,7.1575000000000015,1.1424999999999992,26,2,both,7-10
novartis,8.4,5.13891891891892,3.2610810810810804,19,2,base-only,7-10
novartis,6.2,5.9027777777777795,0.2972222222222207,34,5,base-only,4-7
novartis,9.01,9.264430379746837,0.2544303797468377,31,3,acid-only,7-10
novartis,3.4,4.136601769911503,0.7366017699115033,36,5,both,<4
novartis,3.5,4.6217445,1.1217445000000001,35,5,both,<4
novartis,9.2,8.946785714285713,0.25321428571428584,34,4,base-only,7-10
novartis,10.7,9.525769230769232,1.1742307692307676,32,4,base-only,>10
novartis,10.2,9.638204807228913,0.5617951927710862,33,4,base-only,>10
novartis,8.6,8.384315784210525,0.21568421578947472,26,4,base-only,7-10
novartis,4.266667,4.936951219512196,0.6702842195121956,33,4,base-only,4-7
novartis,7.6,5.9033999999999995,1.6966,30,3,both,7-10
novartis,4.25,6.302820512820513,2.052820512820513,14,2,base-only,4-7
novartis,2.9,3.6421289562043797,0.7421289562043798,9,0,acid-only,<4
novartis,6.0,7.1575000000000015,1.1575000000000015,32,4,base-only,4-7
novartis,4.8,7.587806122448981,2.7878061224489814,34,5,base-only,4-7
novartis,4.2,5.633530145728643,1.4335301457286427,23,3,base-only,4-7
novartis,8.2,7.955738219895288,0.24426178010471133,31,4,base-only,7-10
novartis,8.25,8.586525816901409,0.3365258169014087,31,4,base-only,7-10
novartis,7.17,7.587806122448981,0.4178061224489813,44,4,base-only,7-10
novartis,4.0,3.870913557971014,0.1290864420289859,20,2,both,<4
novartis,8.9,8.303064974576271,0.5969350254237291,29,4,base-only,7-10
novartis,6.07,5.633530145728643,0.4364698542713574,25,4,base-only,4-7
novartis,9.1,9.412594880597016,0.31259488059701646,31,4,base-only,7-10
novartis,4.4,4.438374999999999,0.038374999999998494,27,5,base-only,4-7
novartis,5.2,5.230141509433962,0.0301415094339621,29,4,base-only,4-7
novartis,5.3,7.1575000000000015,1.8575000000000017,24,3,base-only,4-7
novartis,7.5,6.380160891089109,1.1198391089108908,12,1,acid-only,7-10
novartis,8.1,7.955738219895288,0.1442617801047117,31,3,base-only,7-10
novartis,10.91,8.303064974576271,2.606935025423729,49,4,acid-only,>10
novartis,5.0,5.9027777777777795,0.9027777777777795,22,3,base-only,4-7
novartis,4.9,4.6217445,0.2782555000000002,13,2,base-only,4-7
novartis,9.4,5.633530145728643,3.7664698542713575,28,4,base-only,7-10
novartis,6.37,6.6196,0.24960000000000004,30,5,base-only,4-7
novartis,8.3,8.057926012987016,0.24207398701298466,25,3,both,7-10
novartis,6.5,7.1575000000000015,0.6575000000000015,19,3,base-only,4-7
novartis,7.1,6.380160891089109,0.7198391089108904,25,3,base-only,7-10
novartis,7.32,7.587806122448981,0.26780612244898094,34,4,base-only,7-10
novartis,6.25,7.955738219895288,1.705738219895288,19,3,base-only,4-7
novartis,5.6,5.474253731343283,0.1257462686567168,17,2,base-only,4-7
novartis,4.65,7.24625582026333,2.5962558202633295,32,5,base-only,4-7
novartis,8.3,8.586525816901409,0.286525816901408,30,4,base-only,7-10
novartis,7.5,7.7700000000000005,0.27000000000000046,14,2,base-only,7-10
novartis,3.8,5.633530145728643,1.833530145728643,35,6,base-only,<4
novartis,9.4,9.412594880597016,0.012594880597015745,26,3,base-only,7-10
novartis,5.3,5.456346153846154,0.15634615384615458,24,3,base-only,4-7
novartis,8.4,7.587806122448981,0.8121938775510191,31,5,acid-only,7-10
novartis,8.2,8.586525816901409,0.3865258169014094,34,4,base-only,7-10
novartis,3.41,3.6421289562043797,0.23212895620437957,32,3,acid-only,<4
novartis,5.522,5.230141509433962,0.29185849056603796,18,3,base-only,4-7
novartis,8.65,8.303064974576271,0.3469350254237291,24,3,both,7-10
novartis,5.283333,6.6196,1.3362670000000003,30,5,base-only,4-7
novartis,8.6,6.812741935483871,1.787258064516129,22,2,both,7-10
novartis,8.4,7.1575000000000015,1.2424999999999988,28,3,both,7-10
novartis,8.35,7.1575000000000015,1.1924999999999981,27,3,both,7-10
novartis,8.35,7.1575000000000015,1.1924999999999981,21,2,both,7-10
novartis,4.9,3.816755682430674,1.0832443175693265,27,3,base-only,4-7
novartis,4.8,3.615736842105262,1.1842631578947378,27,3,base-only,4-7
novartis,7.31,6.6196,0.6903999999999995,21,3,base-only,7-10
novartis,3.84,4.438374999999999,0.598374999999999,27,3,base-only,<4
novartis,7.7,7.955738219895288,0.2557382198952878,42,4,base-only,7-10
novartis,10.4,7.587806122448981,2.812193877551019,22,2,acid-only,>10
novartis,9.1,9.176947411764704,0.07694741176470465,30,4,base-only,7-10
novartis,8.4,8.90952381632653,0.5095238163265297,22,3,base-only,7-10
novartis,7.8,8.303064974576271,0.5030649745762714,35,5,base-only,7-10
novartis,7.9,8.384315784210525,0.48431578421052457,36,5,base-only,7-10
novartis,8.59,7.955738219895288,0.6342617801047119,28,4,base-only,7-10
novartis,7.955,7.955738219895288,0.0007382198952878838,28,4,base-only,7-10
novartis,8.6,8.303064974576271,0.2969350254237284,26,3,base-only,7-10
novartis,7.74,7.955738219895288,0.21573821989528774,19,3,acid-only,7-10
novartis,3.86,4.239679707482994,0.37967970748299384,24,3,both,<4
novartis,9.0,8.303064974576271,0.6969350254237288,22,3,base-only,7-10
novartis,8.5,9.264430379746837,0.7644303797468375,21,3,base-only,7-10
novartis,4.4,6.812741935483871,2.4127419354838704,30,5,base-only,4-7
novartis,4.94,7.955738219895288,3.0157382198952876,30,5,base-only,4-7
novartis,4.8,7.1575000000000015,2.3575000000000017,33,5,base-only,4-7
novartis,4.7,7.587806122448981,2.887806122448981,31,5,base-only,4-7
novartis,4.75,7.1575000000000015,2.4075000000000015,33,5,base-only,4-7
novartis,4.7,7.1575000000000015,2.4575000000000014,33,5,base-only,4-7
novartis,7.9,8.057926012987016,0.1579260129870157,12,2,base-only,7-10
novartis,9.43,8.303064974576271,1.1269350254237285,24,3,base-only,7-10
novartis,9.46,8.90952381632653,0.5504761836734708,26,3,acid-only,7-10
novartis,8.3,8.586525816901409,0.286525816901408,36,5,base-only,7-10
novartis,4.63,2.933928571428571,1.696071428571429,24,3,base-only,4-7
novartis,3.4,5.456346153846154,2.0563461538461545,31,5,base-only,<4
novartis,2.3,3.615736842105262,1.3157368421052622,17,2,acid-only,<4
novartis,3.35,3.6421289562043797,0.2921289562043796,17,2,acid-only,<4
novartis,3.5,3.6421289562043797,0.1421289562043797,18,2,acid-only,<4
novartis,3.6,6.380160891089109,2.780160891089109,34,4,base-only,<4
novartis,3.9,4.239679707482994,0.3396797074829938,29,4,base-only,<4
novartis,4.2,4.239679707482994,0.03967970748299354,20,2,both,4-7
novartis,5.2,4.136601769911503,1.063398230088497,23,3,base-only,4-7
novartis,2.7,6.380160891089109,3.680160891089109,36,3,base-only,<4
novartis,3.8,4.624051094890512,0.8240510948905122,21,3,acid-only,<4
novartis,9.8,9.385046943661973,0.41495305633802815,12,2,base-only,7-10
novartis,7.6,7.640999416384427,0.04099941638442761,12,2,base-only,7-10
novartis,8.35,7.955738219895288,0.3942617801047117,36,5,base-only,7-10
novartis,4.2,6.6196,2.4196,29,5,base-only,4-7
novartis,8.6,8.384315784210525,0.21568421578947472,18,4,base-only,7-10
novartis,3.9,4.438374999999999,0.5383749999999989,20,3,base-only,<4
novartis,4.0,3.6421289562043797,0.3578710437956203,22,2,both,<4
novartis,5.2,6.812741935483871,1.6127419354838706,24,3,both,4-7
novartis,4.35,4.721030097222222,0.37103009722222247,23,3,base-only,4-7
novartis,4.45,4.247336386743158,0.202663613256842,20,2,both,4-7
novartis,5.0,5.230141509433962,0.23014150943396228,26,4,base-only,4-7
novartis,4.28,5.633530145728643,1.3535301457286426,29,4,base-only,4-7
novartis,9.0,8.946785714285713,0.05321428571428655,33,5,base-only,7-10
novartis,4.7,5.474253731343283,0.7742537313432827,26,4,base-only,4-7
novartis,5.1,5.456346153846154,0.35634615384615476,21,3,base-only,4-7
novartis,8.5,7.377692307692309,1.1223076923076913,37,5,base-only,7-10
novartis,6.0,4.624051094890512,1.375948905109488,28,6,base-only,4-7
novartis,6.0,4.536308532195509,1.463691467804491,25,3,base-only,4-7
novartis,4.18,5.474253731343283,1.2942537313432831,28,3,base-only,4-7
novartis,10.01,9.134731193548385,0.875268806451615,22,3,both,>10
novartis,8.9,8.90952381632653,0.009523816326529655,24,4,base-only,7-10
novartis,7.2,7.587806122448981,0.38780612244898105,22,4,base-only,7-10
novartis,8.375,8.384315784210525,0.009315784210524924,27,4,base-only,7-10
novartis,6.8,6.871282051282051,0.07128205128205156,19,2,both,4-7
novartis,5.2,7.246296296296295,2.046296296296295,13,2,base-only,4-7
novartis,6.5,4.6217445,1.8782554999999999,15,2,acid-only,4-7
novartis,9.5,9.638204807228913,0.13820480722891304,24,4,base-only,7-10
novartis,5.3,5.474253731343283,0.17425373134328304,18,3,base-only,4-7
novartis,4.1,4.6217445,0.5217445000000005,16,3,base-only,4-7
novartis,10.2,9.385046943661973,0.8149530563380267,20,4,base-only,>10
novartis,3.7,6.302820512820513,2.6028205128205126,28,3,base-only,<4
novartis,4.5,6.429743589743589,1.9297435897435893,23,3,base-only,4-7
novartis,7.0,7.1575000000000015,0.15750000000000153,27,4,base-only,4-7
novartis,5.3,4.936951219512196,0.3630487804878042,18,3,base-only,4-7
novartis,4.6,3.870913557971014,0.7290864420289855,18,3,base-only,4-7
novartis,3.9,3.3250980392156864,0.5749019607843135,18,2,both,<4
novartis,7.5,5.9027777777777795,1.5972222222222205,19,2,base-only,7-10
novartis,8.3,5.13891891891892,3.1610810810810808,19,2,base-only,7-10
novartis,4.2,4.239679707482994,0.03967970748299354,30,4,both,4-7
novartis,4.5,4.337999999999999,0.1620000000000008,32,4,both,4-7
novartis,5.4,5.13891891891892,0.2610810810810804,22,3,base-only,4-7
novartis,4.0,4.000679,0.0006789999999998741,27,3,base-only,<4
novartis,9.55,9.8598,0.3097999999999992,11,2,base-only,7-10
novartis,8.26,8.057926012987016,0.20207398701298374,25,6,both,7-10
novartis,3.9,3.870913557971014,0.029086442028985804,18,3,base-only,<4
novartis,7.5,6.6196,0.8803999999999998,11,2,base-only,7-10
novartis,10.8,9.412594880597016,1.3874051194029846,20,3,both,>10
novartis,2.9,3.870913557971014,0.9709135579710142,11,2,base-only,<4
novartis,6.9,6.380160891089109,0.5198391089108911,17,3,base-only,4-7
novartis,5.6,5.633530145728643,0.03353014572864321,23,3,base-only,4-7
novartis,6.9,4.6217445,2.2782555,17,3,base-only,4-7
novartis,4.7,5.456346153846154,0.7563461538461542,18,3,base-only,4-7
novartis,4.5,4.239679707482994,0.2603202925170063,18,3,base-only,4-7
novartis,6.1,6.380160891089109,0.2801608910891096,24,3,base-only,4-7
novartis,5.1,5.633530145728643,0.5335301457286432,25,3,base-only,4-7
novartis,3.6,5.13891891891892,1.5389189189189199,29,5,base-only,<4
novartis,9.9,7.955738219895288,1.9442617801047124,17,2,acid-only,7-10
novartis,8.77,6.812741935483871,1.9572580645161288,29,4,base-only,7-10
novartis,5.9,6.302820512820513,0.40282051282051246,34,5,base-only,4-7
novartis,8.7,9.062940265486727,0.36294026548672775,17,3,acid-only,7-10
novartis,8.4,9.062940265486727,0.6629402654867267,18,3,acid-only,7-10
novartis,3.4,4.6217445,1.2217445000000002,21,2,both,<4
novartis,3.8,4.721030097222222,0.9210300972222223,23,3,base-only,<4
novartis,5.2,4.624051094890512,0.5759489051094882,27,3,base-only,4-7
novartis,6.3,7.1575000000000015,0.8575000000000017,18,2,both,4-7
novartis,7.2,8.156905974358976,0.9569059743589756,17,2,both,7-10
novartis,4.1,4.624051094890512,0.5240510948905124,25,4,base-only,4-7
novartis,3.2,3.8218518518518523,0.6218518518518521,24,3,both,<4
novartis,3.3,3.6421289562043797,0.3421289562043799,25,3,both,<4
novartis,10.5,5.230141509433962,5.269858490566038,22,3,base-only,>10
novartis,5.8,7.1575000000000015,1.3575000000000017,21,3,base-only,4-7
novartis,5.7,7.1575000000000015,1.4575000000000014,23,3,base-only,4-7
novartis,3.51,3.615736842105262,0.10573684210526224,18,2,acid-only,<4
novartis,3.48,3.6421289562043797,0.16212895620437973,19,2,acid-only,<4
novartis,3.0,3.8218518518518523,0.8218518518518523,18,3,acid-only,<4
novartis,3.5,3.870913557971014,0.3709135579710141,21,3,both,<4
novartis,3.9,4.239679707482994,0.3396797074829938,15,2,acid-only,<4
