dataset,exp,pred_iso,err_iso,pred_lin,err_lin,n_atoms,rings,site,pka_bin
novartis,8.55,7.110535714285714,1.439464285714287,7.218687397391872,1.3313126026081283,15,3,base-only,7-10
novartis,5.5,6.681640926640928,1.1816409266409282,6.715277964787139,1.2152779647871386,36,3,base-only,4-7
novartis,4.5,5.902124538461539,1.402124538461539,6.115455322807518,1.6154553228075184,36,3,base-only,4-7
novartis,5.5,6.681640926640928,1.1816409266409282,6.703844464615427,1.2038444646154272,36,3,base-only,4-7
novartis,5.0,5.8189792099792115,0.8189792099792115,6.02322915645164,1.0232291564516398,35,3,base-only,4-7
novartis,10.2,8.414377669902912,1.7856223300970875,8.399094710461611,1.8009052895383881,23,5,base-only,>10
novartis,10.3,8.530165014851484,1.769834985148517,8.565511646746996,1.7344883532530044,23,5,base-only,>10
novartis,10.3,8.7251875,1.5748125000000002,8.664731984807666,1.6352680151923344,19,4,base-only,>10
novartis,8.7,7.388276381909547,1.3117236180904523,7.3581051205743435,1.3418948794256558,14,3,base-only,7-10
novartis,3.8,4.537658486707566,0.7376584867075664,4.595474039624102,0.7954740396241018,33,5,base-only,<4
novartis,4.8,5.521054110389611,0.7210541103896109,5.411619892999782,0.6116198929997818,31,3,base-only,4-7
novartis,2.9,5.615989622568093,2.715989622568093,5.609095868786552,2.709095868786552,27,3,base-only,<4
novartis,8.2,7.110535714285714,1.0894642857142856,7.2536195054680634,0.9463804945319358,33,4,base-only,7-10
novartis,2.4,3.6907673874345552,1.2907673874345553,3.606078167256567,1.206078167256567,22,2,base-only,<4
novartis,4.31,5.8189792099792115,1.5089792099792119,5.812796927410545,1.5027969274105457,26,4,base-only,4-7
novartis,3.6,4.50540981294964,0.9054098129496402,4.394684297892341,0.7946842978923407,38,5,base-only,<4
novartis,3.3,3.6907673874345552,0.3907673874345554,3.6042724957300374,0.30427249573003756,36,5,base-only,<4
novartis,5.9,7.110535714285714,1.2105357142857134,7.060525660034727,1.1605256600347262,30,3,base-only,4-7
novartis,3.9,3.83872672972973,0.061273270270270075,3.8092605759588176,0.09073942404118229,32,5,base-only,<4
novartis,9.7,3.5131111111111113,6.1868888888888875,3.5161202139813565,6.183879786018643,29,4,base-only,7-10
novartis,2.92,3.218619047619047,0.2986190476190469,3.20732340003946,0.28732340003946,26,3,both,<4
novartis,4.1,4.537658486707566,0.4376584867075666,4.636850427196655,0.5368504271966552,21,3,acid-only,4-7
novartis,4.3,4.8554016976047905,0.5554016976047906,4.899605012182149,0.599605012182149,18,3,acid-only,4-7
novartis,9.2,8.414377669902912,0.7856223300970875,8.410404676430353,0.789595323569646,29,4,base-only,7-10
novartis,9.3,6.349166666666666,2.9508333333333345,6.19412024710476,3.105879752895241,28,3,both,7-10
novartis,2.1,5.081764027227724,2.9817640272277237,5.2166874658914795,3.1166874658914794,27,2,acid-only,<4
novartis,9.7,9.462935439903847,0.23706456009615273,9.576821427428182,0.12317857257181686,17,1,base-only,7-10
novartis,6.865,5.658560439560438,1.206439560439562,5.726008791164939,1.138991208835061,30,3,both,4-7
novartis,8.2,7.95047619047619,0.2495238095238097,7.894160026378289,0.3058399736217101,37,5,base-only,7-10
novartis,7.24,5.658560439560438,1.581439560439562,5.765479722073756,1.4745202779262438,18,3,base-only,7-10
novartis,3.37,5.658560439560438,2.288560439560438,5.705924009080175,2.335924009080175,35,3,both,<4
novartis,3.385,4.090714479508198,0.705714479508198,4.076378154864473,0.6913781548644735,31,3,both,<4
novartis,6.3,5.615989622568093,0.6840103774319068,5.525411933211238,0.7745880667887617,23,3,base-only,4-7
novartis,10.5,10.011847826086955,0.4881521739130452,10.115207168813521,0.3847928311864788,23,3,base-only,>10
novartis,8.7,7.8060616875,0.8939383124999996,7.7279984345204875,0.9720015654795118,34,4,base-only,7-10
novartis,9.005,7.95047619047619,1.0545238095238112,7.895238946818555,1.1097610531814457,32,3,base-only,7-10
novartis,8.66,7.388276381909547,1.2717236180904532,7.361188005561904,1.298811994438096,28,3,base-only,7-10
novartis,4.5,4.50540981294964,0.005409812949640269,4.442287083815313,0.05771291618468677,30,3,acid-only,4-7
novartis,6.9,7.8060616875,0.9060616874999994,7.721005755668715,0.8210057556687147,30,4,acid-only,4-7
novartis,10.2,8.530165014851484,1.6698349851485155,8.616860629483408,1.5831393705165908,16,2,acid-only,>10
novartis,4.26,4.8554016976047905,0.5954016976047907,4.852501469961379,0.5925014699613795,27,3,acid-only,4-7
novartis,3.4,4.537658486707566,1.1376584867075663,4.609989093546416,1.2099890935464157,23,3,base-only,<4
novartis,7.6,7.110535714285714,0.4894642857142859,7.2831694116431684,0.3168305883568312,18,2,acid-only,7-10
novartis,5.3,4.486844206521739,0.813155793478261,4.317915127827946,0.9820848721720541,25,3,base-only,4-7
