dataset,smiles,sim_original,sim_extra,nearest_extra
novartis,Brc1ccc(C2CN3C=CSC3=[NH+]2)cc1,0.29545454545454547,0.3,N[C@@H]1C[C@H]1c1ccc(Br)cc1
novartis,C/C(=C\c1cc(C)ccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,0.2,0.1978021978021978,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C
novartis,C/C(=C\c1ccc(C)cn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,0.19753086419753085,0.18681318681318682,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C
novartis,C/C(=C\c1cccc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,0.2463768115942029,0.19047619047619047,NC1=Nc2c(F)cccc2[C@H]2CCC[C@@]12F
novartis,C/C(=C\c1ccccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,0.23255813953488372,0.21008403361344538,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(N4CCN(c5ccccn5)CC4)cc(=O)oc3c2C)OC1(C)C
novartis,C1=C(c2ccc3ccccc3c2)N2CC[NH+]=C2c2ccccc21,0.2608695652173913,0.2833333333333333,CN1CCN(c2cc(-c3ccc4ccccc4c3)nc3ccccc23)CC1
novartis,C1=C(c2cccc3ccccc23)N2CC[NH+]=C2c2ccccc21,0.3137254901960784,0.2727272727272727,O/N=C/c1nc(-c2cccc3ccccc23)no1
novartis,C1=C(c2ccccc2)N2CC[NH+]=C2c2ccccc21,0.2894736842105263,0.2653061224489796,CN1CCN=C(c2ccccc2)c2ccccc21
novartis,C1=CN2CC(c3ccccc3)[NH+]=C2S1,0.2702702702702703,0.2857142857142857,c1ccc([C@@H]2CN3CCC2CC3)cc1
novartis,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.2602739726027397,0.31683168316831684,CC(=O)N1CCN([C@H]2C[C@@H](n3cc(-c4cccc(OCC56CCC(CC5)O6)c4)c4c(N)ncnc43)C2)CC1
novartis,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,0.2857142857142857,0.45161290322580644,Fc1cnc(Nc2cccc(Br)c2)nc1Nc1cccc(Br)c1
novartis,C=CCNc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2C(C)C,0.2777777777777778,0.23529411764705882,Cc1ccc(C(=O)NC(=N)Nc2ccc(C(C)C)cc2)cc1
novartis,CC#CCn1c(N2CC[NH2+]CC2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21,0.3225806451612903,0.32967032967032966,COc1cccc(C(=O)NCCN2CCN(c3ncccc3C#N)CC2)c1
novartis,CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1,0.28888888888888886,0.2459016393442623,CC(=O)Nc1ccc2nc(N(C)CCN(C)C)ccc2c1
novartis,CC(=O)N1CCC(CNc2nc3c(s2)CCCc2ccc(F)cc2-3)CC1,0.2988505747126437,0.2988505747126437,CC(=O)N1CCN(CCC[C@@]2(c3ccccc3)CC(c3cc(F)ccc3F)=NN2C(C)=O)CC1
novartis,CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCC(F)(F)CC3)cc2)CC1,0.3,0.3300970873786408,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
novartis,CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1,0.27472527472527475,0.33,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
novartis,CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CC[NH+](Cc2ccc(F)cc2)C[C@H]1C,0.3037974683544304,0.25,CC(C)N1CCC(C(=O)Nc2cccc(OCc3ccc(F)cc3)c2)CC1
novartis,CC(=O)Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1,0.38596491228070173,0.375,CC(=O)Nc1ccccc1
novartis,CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)n3ncc(C#N)c3n2)c1,0.43333333333333335,0.34615384615384615,CC(=O)Nc1ccccc1
novartis,CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)[O-],0.32727272727272727,0.26153846153846155,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
novartis,CC(=O)n1cc(C2=C([O-])CC(C)(C)CC2=O)c2ccccc21,0.3469387755102041,0.234375,Cn1cc(-c2noc(CN)n2)c2ccccc21
novartis,CC(C(=O)[O-])c1ccc2c(c1)C(=O)c1ccccc1CS2,0.46296296296296297,0.3448275862068966,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
novartis,CC(C(=O)[O-])c1ccc2c(c1)Cc1ccccc1-2,0.5384615384615384,0.4358974358974359,Nc1ccc2c(c1)Cc1ccccc1-2
novartis,CC(C)(C)Cn1c(CN2C(=O)CC3(CC[NH2+]CC3)C2=O)cc2cnc(C#N)nc21,0.2,0.22115384615384615,CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@@H]1NCc1cc2c(cn1)OCCO2
novartis,CC(C)(C)Cn1c(Cc2ccc(NS(N)(=O)=O)cc2)cc2cnc(C#N)nc21,0.22972972972972974,0.2535211267605634,O=S(=O)(Nc1ccc(Cc2c3ccccc3nc3ccccc23)cc1)c1ccccc1
novartis,CC(C)(C)OC(=O)N1CCC(C(=O)NS(=O)(=O)c2c(Cl)sc(Cl)c2Br)CC1,0.2247191011235955,0.2682926829268293,CCOc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C3CCN(C(=O)OC(C)C)CC3)s2)cc1
novartis,CC(C)(C)[NH2+]C[C@H](O)c1cc(Cl)c(N)c(Cl)c1,0.7631578947368421,0.45652173913043476,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1
novartis,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,0.38028169014084506,0.32142857142857145,CC(C)(C)c1ccc(S(=O)(=O)CC(=O)O)cc1
novartis,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CC[NH+](C)CC5)cc4)cnn3c2N)cc1,0.2631578947368421,0.275,O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1
novartis,CC(C)Cn1cnc2c(N)nc3ccccc3c21,0.3902439024390244,0.34146341463414637,Nc1c2ccccc2nc2ccccc12
novartis,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,0.3384615384615385,0.3333333333333333,CS(=O)(=O)NC(=O)CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]
novartis,CC(C)N(CCCCOCC(=O)[O-])c1cnc(-c2ccccc2)c(-c2ccccc2)n1,0.32075471698113206,0.2638888888888889,CN(C)CCNC(=O)c1cccc2c1nc(-c1ccccc1)c1ccccc12
novartis,CC(C)Nc1nc(Nc2ccc(C(N)=O)cc2)c2sccc2n1,0.38181818181818183,0.3088235294117647,CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccc(C(N)=O)cc23)cc1
novartis,CC(C)Oc1ccc(Cc2ccc(NC3=[NH+]CCN3)cc2)cc1,0.5,0.3673469387755102,c1cc(NC2=NCCN2)ccc1Cc1ccc(NC2=NCCN2)cc1
novartis,CC(C)[NH+](CCc1c(-c2ccccc2)nn2ccccc12)Cc1ccc(CCC(=O)N=O)cc1,0.375,0.25,O=C(O)CCc1ccccc1
novartis,CC(C)[NH+](CCc1c(C(C)(C)O)[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1,0.5507246376811594,0.2727272727272727,CC(C)(C)c1[nH]c2ccccc2c1C1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2)C1
novartis,CC(C)[NH+](CCc1c[nH]c2ccccc12)Cc1ccc(CCC(=O)N=O)cc1,0.7192982456140351,0.39655172413793105,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
novartis,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,1.0,0.9814814814814815,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+]
novartis,CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,0.33962264150943394,0.33962264150943394,O=C(O)c1c(O)ccc2ccccc12
novartis,CC(c1cc2ccccc2s1)N(O)C(N)=O,0.40476190476190477,0.35714285714285715,OB(O)c1cc2ccccc2s1
novartis,CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)[O-])cc1)c1ccccc1,0.5555555555555556,0.42857142857142855,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
novartis,CC1CCCN(C(=O)c2ccc(Nc3ccc(Cl)cc3)nc2)C1,0.2987012987012987,0.3484848484848485,CN1CC[C@H]2CCC[C@@H](NC(=O)c3ccc(Cl)cc3)[C@@H]2C1
novartis,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,0.75,0.6176470588235294,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
novartis,CCC1CCCCN1C(=O)c1cnc(Nc2ccc(C)nc2)c(Cl)c1,0.2823529411764706,0.29333333333333333,CCOC(=O)N1CCC(Nc2cc(Cl)ccn2)CC1
novartis,CCCCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1,0.25,0.25,CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CO)c1ccccc1)C1CCN(CC2CC2)CC1
novartis,CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1,0.45714285714285713,0.425,CCCCc1ccc(CCC(C)(C)CN(C)C)cc1
novartis,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)[O-])c3C[C@H]2C[C@H]1O,0.3561643835616438,0.3561643835616438,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2
novartis,CCN(CC)c1ncnc2c1cnn2C,0.6764705882352942,0.2553191489361702,CCN(Cc1ccccc1)c1ncc(O)cn1
novartis,CCN(Cc1ccccc1)c1ccccc1,0.6956521739130435,0.5769230769230769,CCN(CC)Cc1ccccc1
novartis,CCN1c2ccc(C#N)cc2N=C(c2ccc(C(=O)[O-])c(F)c2)c2cc3c(cc21)C(C)(C)CCC3(C)C,0.2647058823529412,0.26436781609195403,N#Cc1ccc(S(=O)(=O)C2(F)CCN(CCc3ccc(F)cc3F)CC2)cc1
novartis,CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1,0.3333333333333333,0.3076923076923077,COc1cc2nc(N3CCCCC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC
novartis,CCOC(=O)N1CCC(C)(C[NH+]2CCC3(CC2)CN(S(C)(=O)=O)c2ncccc23)CC1,0.3170731707317073,0.3291139240506329,CCOC(=O)N1CCC2(CC1)N=C(N)c1c(F)cccc1N2
novartis,CCOC(=O)c1c(C)cc2nc(COC(=O)NCCO)n(-c3ccccc3S(=O)(=O)NC)c(=O)c2c1C,0.25,0.2967032967032967,CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1
novartis,CCOCC(=O)N1CCC(CNc2nc3c(s2)CCOc2ccc(F)cc2-3)CC1,0.24752475247524752,0.24752475247524752,CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)ccc1-c1ccc(F)cc1
novartis,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0.5121951219512195,0.4406779661016949,CCOc1ccc2nc(NC(=O)Cc3ccc(Cl)c(Cl)c3)sc2c1
novartis,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1,0.3442622950819672,0.4126984126984127,O=C(O)CSCC(=O)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1
