smiles,n_atoms,mw,src
N#CNC(=N)N,6,84.08200000000001,chembl26.sdf
N=C(N)N[N+](=O)[O-],7,104.06899999999999,chembl26.sdf
CCOP(=O)(SC(C)CC)N1CCCC1,15,251.33199999999994,chembl26.sdf
CCCCCS(=O)(=O)NCCCc1ccc(OCCOC)cc1Oc1ncc(C(F)(F)F)cc1Cl,35,539.0160000000003,chembl26.sdf
CC(=O)Nc1ccc2nc(F)ccc2c1,15,204.20399999999998,chembl26.sdf
CS(=O)(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,19,290.297,chembl26.sdf
O=C(Nc1cc(Cl)ccc1O)OCCCl,15,250.08099999999996,chembl26.sdf
CC#CCOC(=O)Nc1cc(Cl)ccc1O,16,239.65800000000002,chembl26.sdf
COC(=O)Nc1cc(Cl)ccc1O,13,201.609,chembl26.sdf
CCOC(=O)Nc1cc(Cl)ccc1O,14,215.636,chembl26.sdf
NCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1,22,314.37000000000006,chembl26.sdf
CC1CCN(C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c2ccc3ccccc3c2)CC1,31,445.5890000000002,chembl26.sdf
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,35,508.6450000000003,chembl26.sdf
NCCCCCOC[C@H]1O[C@@H](OCCc2c[nH]c3ccccc23)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccc(F)nc1,51,697.8480000000002,chembl26.sdf
c1cnon1,5,70.051,chembl26.sdf
c1cnsc1,5,85.13099999999999,chembl26.sdf
CCN(CC)C(=O)CN1C(=O)Nc2ccccc2C1c1ccccc1,25,337.42300000000006,chembl26.sdf
CN(C)C(=N)NCCCCCCCCCCCCNC(=N)N(C)C.I,25,468.47199999999987,chembl26.sdf
O=[N+]([O-])C1=Cc2ccccc2OC1Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],26,358.26600000000013,chembl26.sdf
O=[N+]([O-])C1=Cc2ccccc2OC1Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,26,358.26600000000013,chembl26.sdf
O=[N+]([O-])C1=Cc2ccccc2OC1Nc1ccccc1[N+](=O)[O-],23,313.26900000000006,chembl26.sdf
Cc1ncc2cc(-c3c(Cl)cccc3Cl)c(N)nc2n1,20,305.168,chembl26.sdf
CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],21,332.3620000000001,chembl26.sdf
CCNc1nc(Cl)nc(NC(C)C)n1,14,215.68800000000002,chembl26.sdf
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,19,304.35200000000003,chembl26.sdf
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,17,277.238,chembl26.sdf
CCC(C)c1ccccc1OC(=O)NC,15,207.27299999999997,chembl26.sdf
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,17,255.665,chembl26.sdf
CCCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)cc(CCC)c1O,27,365.52100000000013,chembl26.sdf
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,36,522.5780000000002,chembl26.sdf
C[C@H](NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,36,515.9630000000002,chembl26.sdf
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,23,306.37300000000005,chembl26.sdf
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,33,452.5950000000003,chembl26.sdf
CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,29,407.9010000000001,chembl26.sdf
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,29,395.43400000000014,chembl26.sdf
