smiles,pKa,source
Cl.Cn1nnc(O)c1CC(N)C(=O)O,6.42,chembl26.sdf.gz
Cl.Cn1nc(O)c(CC(N)C(=O)O)n1,6.11,chembl26.sdf.gz
N[C@@H](CCC(=O)O)C(=O)O,4.2,chembl26.sdf.gz
CCOC(=O)c1nonc1O,3.24,chembl26.sdf.gz
CCOC(=O)c1nsnc1O,4.21,chembl26.sdf.gz
CCOC(=O)c1cn(C)nc1O,6.71,chembl26.sdf.gz
CCOC(=O)c1nn(Cc2ccccc2)nc1O,5.14,chembl26.sdf.gz
CCOC(=O)c1nnn(Cc2ccccc2)c1O,6.22,chembl26.sdf.gz
CCOC(=O)c1nn(C)nc1O,5.14,chembl26.sdf.gz
CCOC(=O)c1nnn(C)c1O,6.21,chembl26.sdf.gz
Cc1onc(O)c1CC(N)C(=O)O,4.8,chembl26.sdf.gz
CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,4.52,chembl26.sdf.gz
N=C(N)N,13.6,chembl26.sdf.gz
Nc1cc(-c2n[nH]c(N)n2)ccn1,9.56,chembl26.sdf.gz
CN/C(=N/CCSCc1nc[nH]c1C)NC#N,7.02,chembl26.sdf.gz
CCNc1cc(-c2n[nH]c(N)n2)ccn1,9.7,chembl26.sdf.gz
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.5,chembl26.sdf.gz
CN(Cc1cnc2nc(N)c(Br)c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5.1,chembl26.sdf.gz
CN(Cc1cnc2nc(N)c([N+](=O)[O-])c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,4.3,chembl26.sdf.gz
CC#Cc1cncc(-c2cc(Cl)c([C@]3(C)CC(=O)N(C)C(=N)N3)s2)c1,7.5,chembl26.sdf.gz
O=c1[nH]c(=O)n(C[C@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)o1,5.2,chembl26.sdf.gz
Cc1cc(=O)c2c(O)cc(O)c([C@H]3CCN(C)C[C@H]3O)c2o1,5.83,chembl26.sdf.gz
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,5.56,chembl26.sdf.gz
N[C@@H](Cc1ccccc1)C(=O)NCCC[C@H](N)C(=O)Nc1ccc(C#Cc2c(F)c(F)nc(F)c2F)cc1,7.2,chembl26.sdf.gz
C[C@H](N)C(=O)NCCC[C@H](N)C(=O)Nc1ccc(C#Cc2c(F)c(F)nc(F)c2F)cc1,7.0,chembl26.sdf.gz
NCC(=O)NCCC[C@H](N)C(=O)Nc1ccc(C#Cc2c(F)c(F)nc(F)c2F)cc1,7.2,chembl26.sdf.gz
N[C@@H](Cc1ccccc1)C(=O)NCCCC[C@H](N)C(=O)Nc1ccc(C#Cc2c(F)c(F)nc(F)c2F)cc1,6.6,chembl26.sdf.gz
C[C@H](N)C(=O)NCCCC[C@H](N)C(=O)Nc1ccc(C#Cc2c(F)c(F)nc(F)c2F)cc1,7.3,chembl26.sdf.gz
Cc1cc(C)nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)cnc2C(N)=O)c1,9.0,chembl26.sdf.gz
