n_estimators,num_leaves,min_child_samples,reg_lambda,oof_mae
800,31,10,0.0,0.5967927653543462
800,31,20,1.0,0.5993073546341536
800,31,20,0.0,0.6012837928703264
800,31,10,1.0,0.601315638455316
400,31,10,0.0,0.6039035214325049
800,63,20,1.0,0.6056633999448383
800,63,10,1.0,0.6057033246832129
800,63,10,0.0,0.6064474055213154
400,63,20,1.0,0.6067887675828793
400,63,10,1.0,0.6067949678712843
400,31,20,1.0,0.6073642405482211
400,63,10,0.0,0.6075820922590217
800,63,20,0.0,0.6075925836372091
400,63,20,0.0,0.6085428491448169
400,31,20,0.0,0.6089185138975702
400,31,10,1.0,0.6089803182954269
