key,pKa,kind,prot_smi,prot_idx,dep_smi,dep_idx
CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,9.5,base,CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1,19,CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,19
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,2.2,base,[NH3+]c1nc(=O)c2ncn(COCCO)c2[nH]1,15,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,15
CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@@H]1C,8.7,base,CCC(=O)O[C@]1(c2ccccc2)CC[N@H+](C)C[C@@H]1C,8,CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@@H]1C,8
C=CCc1ccccc1OC[C@H](O)CNC(C)C,9.6,base,C=CCc1ccccc1OC[C@H](O)C[NH2+]C(C)C,3,C=CCc1ccccc1OC[C@H](O)CNC(C)C,3
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,9.6,base,CC(C)[NH2+]C[C@@H](O)COc1ccc(CC(N)=O)cc1,3,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,3
CNCCc1ccccn1,10.0,base,C[NH2+]CCc1ccccn1,1,CNCCc1ccccn1,1
C[NH2+]CCc1cccc[nH+]1,3.9,base,C[NH2+]CCc1cccc[nH+]1,9,C[NH2+]CCc1ccccn1,9
CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,7.0,base,CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,19,CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,19
CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,10.6,base,CC[NH+](CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,2,CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,2
C/N=C(\NC#N)NCCSCc1nc[nH]c1C,6.8,base,C/[NH+]=C(\NC#N)NCCSCc1nc[nH]c1C,12,C/N=C(\NC#N)NCCSCc1nc[nH]c1C,12
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,9.4,base,C[NH+](C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.8,base,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1cc[nH+]c1,23,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,23
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,7.5,base,CN1CCN(C2=c3ccccc3=[NH+]c3ccc(Cl)cc3N2)CC1,14,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,14
