dataset,exp,marvin_pred,marvin_err,smarts_agreed,n_atoms,kind,size_bin
novartis,8.55,5.34,3.210000000000001,True,15,basic,<15
novartis,5.5,5.4,0.09999999999999964,True,36,basic,>30
novartis,4.5,5.05,0.5499999999999998,True,36,basic,>30
novartis,5.5,5.36,0.13999999999999968,True,36,basic,>30
novartis,5.0,4.64,0.3600000000000003,True,35,basic,>30
novartis,10.2,7.11,3.089999999999999,True,23,basic,22-30
novartis,10.3,7.03,3.2700000000000005,True,23,basic,22-30
novartis,10.3,7.13,3.170000000000001,True,19,basic,15-22
novartis,8.7,5.34,3.3599999999999994,True,14,basic,<15
novartis,3.8,4.05,0.25,True,33,basic,>30
novartis,4.8,2.18,2.6199999999999997,True,31,basic,>30
novartis,2.9,3.89,0.9900000000000002,False,27,basic,22-30
novartis,8.2,8.82,0.620000000000001,True,33,basic,>30
novartis,2.4,2.58,0.18000000000000016,True,22,basic,15-22
novartis,4.31,3.4,0.9099999999999997,True,26,basic,22-30
novartis,3.6,3.94,0.33999999999999986,False,38,basic,>30
novartis,3.3,3.94,0.6400000000000001,False,36,basic,>30
novartis,5.9,6.63,0.7299999999999995,True,30,basic,22-30
novartis,3.9,4.61,0.7100000000000004,False,32,basic,>30
novartis,9.7,11.68,1.9800000000000004,False,29,acidic,22-30
novartis,2.92,3.85,0.9300000000000002,True,26,acidic,22-30
novartis,5.2,5.84,0.6399999999999997,,22,acidic,15-22
novartis,4.1,3.67,0.4299999999999997,True,21,acidic,15-22
novartis,4.3,4.68,0.3799999999999999,True,18,acidic,15-22
novartis,9.2,10.13,0.9300000000000015,True,29,basic,22-30
novartis,9.3,10.69,1.3899999999999988,False,28,acidic,22-30
novartis,2.1,4.26,2.1599999999999997,True,27,acidic,22-30
novartis,9.7,9.62,0.08000000000000007,True,17,basic,15-22
novartis,6.865,7.3,0.4349999999999996,True,30,acidic,22-30
novartis,8.2,7.83,0.3699999999999992,True,37,basic,>30
novartis,7.24,5.01,2.2300000000000004,False,18,basic,15-22
novartis,3.37,3.77,0.3999999999999999,True,35,acidic,>30
novartis,3.385,3.47,0.08500000000000041,True,31,acidic,>30
novartis,6.3,4.83,1.4699999999999998,True,23,basic,22-30
novartis,10.5,8.45,2.0500000000000007,True,23,basic,22-30
novartis,8.7,10.0,1.3000000000000007,True,34,basic,>30
novartis,9.005,10.04,1.0349999999999984,True,32,basic,>30
novartis,8.66,10.13,1.4700000000000006,True,28,basic,22-30
novartis,4.5,4.54,0.040000000000000036,True,30,acidic,22-30
novartis,6.9,8.64,1.7400000000000002,True,30,acidic,22-30
novartis,10.2,8.84,1.3599999999999994,True,16,acidic,15-22
novartis,4.26,3.79,0.46999999999999975,True,27,acidic,22-30
novartis,3.4,4.12,0.7200000000000002,True,23,basic,22-30
novartis,7.6,7.4,0.1999999999999993,True,18,acidic,15-22
novartis,5.3,5.83,0.5300000000000002,False,25,basic,22-30
novartis,3.69,3.18,0.5099999999999998,True,29,basic,22-30
novartis,8.52,9.37,0.8499999999999996,True,22,basic,15-22
novartis,3.37,3.76,0.3899999999999997,True,28,acidic,22-30
novartis,4.2,3.53,0.6700000000000004,False,15,basic,<15
novartis,5.8,4.33,1.4699999999999998,True,16,basic,15-22
novartis,3.0,3.17,0.16999999999999993,True,37,acidic,>30
novartis,5.4,5.82,0.41999999999999993,False,26,basic,22-30
novartis,8.5,8.81,0.3100000000000005,True,31,basic,>30
novartis,10.6,9.59,1.0099999999999998,True,37,acidic,>30
novartis,3.7,3.18,0.52,True,29,basic,22-30
novartis,8.356,7.51,0.8460000000000001,True,16,acidic,15-22
novartis,7.9,7.81,0.09000000000000075,False,34,acidic,>30
novartis,9.2,8.86,0.33999999999999986,True,27,acidic,22-30
novartis,10.6,9.78,0.8200000000000003,True,20,acidic,15-22
novartis,4.8,3.96,0.8399999999999999,True,16,basic,15-22
novartis,6.8,6.09,0.71,True,21,basic,15-22
novartis,5.8,4.93,0.8700000000000001,,16,acidic,15-22
novartis,3.9,3.36,0.54,False,33,basic,>30
novartis,4.3,4.38,0.08000000000000007,False,27,basic,22-30
novartis,8.3,8.31,0.009999999999999787,True,26,acidic,22-30
novartis,8.4,11.1,2.6999999999999993,True,19,acidic,15-22
novartis,6.2,5.62,0.5800000000000001,True,34,basic,>30
novartis,9.01,8.85,0.16000000000000014,True,31,acidic,>30
novartis,3.4,3.17,0.22999999999999998,True,36,acidic,>30
novartis,3.5,3.93,0.43000000000000016,True,35,acidic,>30
novartis,9.2,10.18,0.9800000000000004,True,34,basic,>30
novartis,10.7,9.06,1.6399999999999988,True,32,basic,>30
novartis,10.2,9.24,0.9599999999999991,True,33,basic,>30
novartis,8.6,9.4,0.8000000000000007,True,26,basic,22-30
novartis,4.266667,2.59,1.6766670000000001,True,33,basic,>30
novartis,7.6,6.98,0.6199999999999992,True,30,acidic,22-30
novartis,4.25,3.92,0.33000000000000007,True,14,basic,<15
novartis,2.9,3.12,0.2200000000000002,True,9,acidic,<15
novartis,6.0,6.56,0.5599999999999996,True,32,basic,>30
novartis,4.8,5.0,0.20000000000000018,False,34,basic,>30
novartis,4.2,4.28,0.08000000000000007,True,23,basic,22-30
novartis,8.2,8.52,0.3200000000000003,True,31,basic,>30
novartis,8.25,8.64,0.39000000000000057,True,31,basic,>30
novartis,7.17,7.66,0.4900000000000002,False,44,basic,>30
novartis,4.0,3.86,0.14000000000000012,True,20,acidic,15-22
novartis,8.9,9.45,0.5499999999999989,True,29,basic,22-30
novartis,6.07,3.17,2.9000000000000004,False,25,basic,22-30
novartis,9.1,9.84,0.7400000000000002,True,31,basic,>30
novartis,4.4,4.28,0.1200000000000001,False,27,basic,22-30
novartis,5.2,4.11,1.0899999999999999,True,29,basic,22-30
novartis,5.3,6.42,1.12,True,24,basic,22-30
novartis,7.5,8.33,0.8300000000000001,True,12,acidic,<15
novartis,8.1,9.01,0.9100000000000001,True,31,basic,>30
novartis,4.1,6.81,2.71,,19,acidic,15-22
novartis,10.91,9.19,1.7200000000000006,True,49,acidic,>30
novartis,5.0,4.47,0.5300000000000002,True,22,basic,15-22
novartis,4.9,4.77,0.13000000000000078,True,13,basic,<15
novartis,9.4,7.96,1.4400000000000004,False,28,acidic,22-30
novartis,6.37,8.72,2.3500000000000005,True,30,basic,22-30
novartis,8.3,8.32,0.019999999999999574,True,25,acidic,22-30
novartis,6.5,5.4,1.0999999999999996,True,19,basic,15-22
