smiles,pKa,n_candidates,chosen,chosen_kind,has_acid_and_base,chosen_plausible,alt_site_fits,n_atoms,size_bin
Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,6.21,3,pyridine_N,base,False,True,aniline_sec,21,15-22
Brc1cc(Br)c(NC2=[NH+]CCN2)c(Br)c1,7.46,3,guanidine,base,False,False,,15,<15
Brc1cc2cccnc2c2ncccc12,4.2,1,pyridine_N,base,False,True,,15,<15
Brc1ccc(-c2nn[n-]n2)cc1,3.73,1,tetrazole_2,acid,False,True,,12,<15
Brc1ccc(Br)c(N(CC2CC2)C2=[NH+]CCN2)c1,11.0,3,guanidine,base,False,True,amidine,18,15-22
Brc1ccc(C2[NH2+]CCS2)cc1,5.05,1,sec_amine,base,False,False,,12,<15
Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7.0,1,pyridine_N,base,False,True,,22,15-22
Brc1ccc(Cc2nn[n-]n2)cc1,4.62,1,tetrazole_2,acid,False,True,,13,<15
Brc1ccc(N(CC2CC2)C2=[NH+]CCN2)c(Br)c1,11.2,3,guanidine,base,False,True,amidine,18,15-22
Brc1ccc(N2CCc3ccccc3C2)nc1,3.0,2,pyridine_N,base,False,True,aniline_tert,17,15-22
Brc1ccc(NC2=[NH+]CCN2)cc1,9.65,3,guanidine,base,False,False,amidine,13,<15
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7.0,2,pyridine_N,base,False,True,aniline_sec,22,15-22
Brc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,6.38,2,pyridine_N,base,False,True,aniline_tert,20,15-22
Brc1ccc2c(c1)CCN2,3.7,1,aniline_sec,base,False,True,,10,<15
Brc1ccc2c(c1)c1c3n2CC[NH+](Cc2ccccc2)C3CCC1,6.95,1,tert_amine,base,False,True,,24,22-30
Brc1cccc(-c2nn[n-]n2)c1,3.82,1,tetrazole_2,acid,False,True,,12,<15
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCC1,11.2,3,guanidine,base,False,True,amidine,19,15-22
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCCC1,11.3,3,guanidine,base,False,True,amidine,20,15-22
Brc1cccc(Br)c1N(CC1CC1)C1=[NH+]CCN1,10.88,3,guanidine,base,False,True,amidine,18,15-22
Brc1cccc(Br)c1N(CC1CCC1)C1=[NH+]CCN1,10.9,3,guanidine,base,False,True,amidine,19,15-22
Brc1cccc(Br)c1N(CC1CCCC1)C1=[NH+]CCN1,10.9,3,guanidine,base,False,True,amidine,20,15-22
Brc1cccc(Br)c1N(CC1CCCCC1)C1=[NH+]CCN1,11.2,3,guanidine,base,False,True,amidine,21,15-22
Brc1cccc(Br)c1N(Cc1ccccc1)C1=[NH+]CCN1,10.4,3,guanidine,base,False,True,amidine,21,15-22
Brc1cccc(Br)c1N(Cc1ccco1)C1=[NH+]CCN1,10.5,3,guanidine,base,False,True,amidine,20,15-22
Brc1cccc(Br)c1N(Cc1cccs1)C1=[NH+]CCN1,10.51,3,guanidine,base,False,True,amidine,20,15-22
Brc1cccc(Br)c1NC1=[NH+]CCN1,7.85,3,guanidine,base,False,False,,14,<15
Brc1cccc(N(CC2CC2)C2=[NH+]CCN2)c1Br,11.1,3,guanidine,base,False,True,amidine,18,15-22
Brc1cccc(N2CCc3ccccc3C2)n1,2.0,2,pyridine_N,base,False,True,aniline_tert,17,15-22
Brc1ccccc1-c1nn[n-]n1,3.83,1,tetrazole_2,acid,False,True,,12,<15
Brc1ccccc1N(CC1CC1)C1=[NH+]CCN1,11.2,3,guanidine,base,False,True,amidine,17,15-22
Brc1ccccc1Nc1c2ccccc2nc2ccccc12,6.41,2,pyridine_N,base,False,True,aniline_sec,22,15-22
Brc1cccnc1,2.94,1,pyridine_N,base,False,True,,7,<15
Brc1ccnc2c1ccc1cccnc12,4.03,1,pyridine_N,base,False,True,,15,<15
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.9,1,pyridine_N,base,False,True,,16,15-22
Brc1cncc2ccccc12,3.54,1,pyridine_N,base,False,True,,11,<15
Brc1nn[n-]n1,2.13,1,tetrazole_2,acid,False,False,,6,<15
C#CC#CC#CCC(O)CCC(=O)[O-],4.75,1,carboxylic_acid,acid,False,True,,14,<15
C#CC(C)(C(C)C)[NH+](C)C(C)C,8.7,1,tert_amine,base,False,True,,12,<15
C#CC(C)(C)Nc1ccccc1,4.26,1,aniline_sec,base,False,True,,12,<15
C#CC(C)(C)[NH+](C)C(C)(C)C,9.3,1,tert_amine,base,False,True,,11,<15
C#CC(C)(C)[NH+](C)C(C)(C)C#C,6.65,1,tert_amine,base,False,True,,12,<15
C#CC(C)(C)[NH+](C)C(C)C,8.7,1,tert_amine,base,False,True,,10,<15
C#CC(C)(C)[NH+](CC)C(C)(C)C,9.6,1,tert_amine,base,False,True,,12,<15
C#CC(C)(C)[NH2+]C(C)(C)C#C,6.45,1,sec_amine,base,False,False,,11,<15
C#CC(C)(C)[NH2+]C(C)(C)C=C,8.2,1,sec_amine,base,False,True,,11,<15
C#CC(C)(C)[NH2+]C(C)(C)CC,9.0,1,sec_amine,base,False,True,,11,<15
C#CC(C)Nc1ccccc1,3.25,1,aniline_sec,base,False,True,,11,<15
C#CC(CC)(CC)[NH+](C)C(C)C,8.8,1,tert_amine,base,False,True,,12,<15
C#CC(CC)(CC)[NH+](CC)C(C)C,8.2,1,tert_amine,base,False,True,,13,<15
C#CCC(=O)[O-],3.31,1,carboxylic_acid,acid,False,True,,6,<15
C#CCCC(=O)[O-],4.2,1,carboxylic_acid,acid,False,True,,7,<15
C#CCCCC(=O)[O-],4.6,1,carboxylic_acid,acid,False,True,,8,<15
C#CCCCCC(=O)[O-],4.58,1,carboxylic_acid,acid,False,True,,9,<15
C#CCCCCCC[NH3+],10.74,1,prim_amine,base,False,True,,9,<15
C#CCCCCC[NH3+],10.64,1,prim_amine,base,False,True,,8,<15
C#CCCCC[NH+](C)C,9.24,1,tert_amine,base,False,True,,9,<15
C#CCCCC[NH3+],10.5,1,prim_amine,base,False,True,,7,<15
C#CCCC[NH+](C)C,8.88,1,tert_amine,base,False,True,,8,<15
C#CCCC[NH3+],10.21,1,prim_amine,base,False,True,,6,<15
C#CCC[NH+](C)C,8.33,1,tert_amine,base,False,True,,7,<15
C#CCC[NH3+],9.23,1,prim_amine,base,False,True,,5,<15
C#CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.1,3,guanidine,base,False,True,amidine,17,15-22
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.3,1,prim_amine,base,False,True,,19,15-22
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4,1,prim_amine,base,False,True,,18,15-22
C#CCNN,5.46,2,prim_amine,base,False,False,,5,<15
C#CCNc1ccccc1,3.06,1,aniline_sec,base,False,True,,10,<15
C#CCOc1noc2c1C[NH2+]CC2,7.6,2,sec_amine,base,False,True,pyridine_N,13,<15
C#CC[NH+](C)C,7.05,1,tert_amine,base,False,True,,6,<15
C#CC[NH+](C)[C@H](C)Cc1ccccc1,8.015,1,tert_amine,base,False,True,,14,<15
C#CC[NH+]1CCN(C(=O)OCC)CC1,5.44,1,tert_amine,base,False,False,,14,<15
C#CC[NH+]1CCOCC1,5.54,1,tert_amine,base,False,False,,9,<15
C#CC[NH2+]CC#C,6.08,1,sec_amine,base,False,False,,7,<15
C#CC[NH3+],8.19,1,prim_amine,base,False,True,,4,<15
C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,9.53,1,tert_amine,base,False,True,,15,<15
C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@H]2CCCC[C@@H]21,8.99,1,tert_amine,base,False,True,,15,<15
C#C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.73,1,sec_amine,base,False,True,,14,<15
C#C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,9.29,1,sec_amine,base,False,True,,14,<15
C#C[C@]1(O)C[C@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,9.22,1,tert_amine,base,False,True,,15,<15
C#C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.63,1,sec_amine,base,False,True,,14,<15
C(=C\c1ccccc1)/CN1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,7.47,1,tert_amine,base,False,True,,28,22-30
C(=C\c1ccncc1)/c1ccccc1,5.97,1,pyridine_N,base,False,True,,14,<15
C(=C/c1ccncc1)/c1ccccc1,5.77,1,pyridine_N,base,False,True,,14,<15
