smiles,pKa,marvin_atom,kind,site_atoms,site_kinds,site_names
Brc1cc(Br)c(NC2=[NH+]CCN2)c(Br)c1,7.46,9,base,"[9, 7]","['base', 'base']","['guanidine', 'aniline_sec']"
Brc1cc2cccnc2c2ncccc12,4.2,9,base,"[9, 12]","['base', 'base']","['pyridine_N', 'pyridine_N']"
Brc1ccc(Br)c(N(CC2CC2)C2=[NH+]CCN2)c1,11.0,13,base,"[13, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1ccc(N(CC2CC2)C2=[NH+]CCN2)c(Br)c1,11.2,14,base,"[14, 8]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1ccc(N2CCc3ccccc3C2)nc1,3.0,15,base,"[15, 8]","['base', 'base']","['pyridine_N', 'aniline_tert']"
Brc1ccc(NC2=[NH+]CCN2)cc1,9.65,8,base,"[8, 6]","['base', 'base']","['guanidine', 'aniline_sec']"
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7.0,13,base,"[13, 14]","['base', 'base']","['pyridine_N', 'aniline_sec']"
Brc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,6.38,10,base,"[10, 14]","['base', 'base']","['pyridine_N', 'aniline_tert']"
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCC1,11.2,14,base,"[14, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCCC1,11.3,15,base,"[15, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1N(CC1CC1)C1=[NH+]CCN1,10.88,13,base,"[13, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1N(CC1CCC1)C1=[NH+]CCN1,10.9,14,base,"[14, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1N(CC1CCCC1)C1=[NH+]CCN1,10.9,15,base,"[15, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1N(CC1CCCCC1)C1=[NH+]CCN1,11.2,16,base,"[16, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1N(Cc1ccccc1)C1=[NH+]CCN1,10.4,17,base,"[17, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1N(Cc1ccco1)C1=[NH+]CCN1,10.5,15,base,"[15, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1N(Cc1cccs1)C1=[NH+]CCN1,10.51,15,base,"[15, 7]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(Br)c1NC1=[NH+]CCN1,7.85,9,base,"[9, 7]","['base', 'base']","['guanidine', 'aniline_sec']"
Brc1cccc(N(CC2CC2)C2=[NH+]CCN2)c1Br,11.1,14,base,"[14, 8]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1cccc(N2CCc3ccccc3C2)n1,2.0,15,base,"[15, 8]","['base', 'base']","['pyridine_N', 'aniline_tert']"
Brc1ccccc1N(CC1CC1)C1=[NH+]CCN1,11.2,12,base,"[12, 6]","['base', 'base']","['guanidine', 'aniline_tert']"
Brc1ccccc1Nc1c2ccccc2nc2ccccc12,6.41,13,base,"[13, 14]","['base', 'base']","['pyridine_N', 'aniline_sec']"
Brc1ccnc2c1ccc1cccnc12,4.03,12,base,"[9, 12]","['base', 'base']","['pyridine_N', 'pyridine_N']"
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.9,13,base,"[6, 13]","['base', 'base']","['pyridine_N', 'pyridine_N']"
C#CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.1,13,base,"[13, 3]","['base', 'base']","['guanidine', 'aniline_tert']"
C#CCNN,5.46,4,base,"[4, 3]","['base', 'base']","['prim_amine', 'sec_amine']"
C#CCOc1noc2c1C[NH2+]CC2,7.6,11,base,"[11, 8]","['base', 'base']","['sec_amine', 'pyridine_N']"
C(=C\c1ccccc1)/CN1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,7.47,12,base,"[9, 12]","['base', 'base']","['tert_amine', 'tert_amine']"
C(Nc1ccccc1)=[NH+]c1ccccc1,6.3,8,base,"[8, 6]","['base', 'base']","['amidine', 'aniline_sec']"
C/C(N)=N/[NH+](C)C,10.0,2,base,"[2, 3]","['base', 'base']","['amidine', 'tert_amine']"
C/C(N)=[NH+]/O,5.9,2,base,"[3, 2]","['acid', 'base']","['oxime', 'amidine']"
C/C=C/CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.0,14,base,"[14, 4]","['base', 'base']","['guanidine', 'aniline_tert']"
C/C=C/COc1noc2c1C[NH2+]CC2,7.7,12,base,"[12, 9]","['base', 'base']","['sec_amine', 'pyridine_N']"
C/C=C1/C[NH+]2[C@@H]3C[C@H]1C1[C@@H](O)[C@]4(C[C@@H]12)c1ccccc1N(C)[C@@H]34,8.5,4,base,"[4, 13]","['base', 'base']","['tert_amine', 'aniline_tert']"
C1=C(c2nc3ccccc3o2)C2CC[NH+]1CC2,7.23,11,base,"[11, 6]","['base', 'base']","['tert_amine', 'pyridine_N']"
